Conversation,Date
"@OldCurmudgeon This may take time, but I think there is a good chance the merger will go through.  I think that no matter who wins the election, the FTC is going to become more merger friendly.  Kahn will be gone and I believe that the Democrats will even be pushed (primarily by tech) for a more merger friendly agency.  The FTC may want to argue that Kroger is ""different"" from competitors like Walmart but most people (not associated with the FTC or some consumer group) looking at it objectively would say that argument is absolutely ridiculous.  Furthermore, there are probably viable options for divestitures that could make the deal work.  That being said, the approval time element is a big negative.  As such I am selling the 10/18 ACI $18 puts which are currently yielding a 66% annualized return if they expire worthless.  If I become a shareholder from those puts, my cost basis would be about $17.30 and i would look to enhance the return by selling calls.",2024-09-27
"@Gentleman Argentum it is easier to not argue Amazon about anything because Walmart as a business model faces litigation as a given WHERE NOW it is obvious that Amazon as a WHAT EXACTLY....does not. What exactly is Amazon should be obvious, and what of Walmart and Kroger etc may be the direct proof and therefore needs to exist in order to justify what Amazon laughably is not. Amazon a monopoly? Why.... Walmart harder to ATTACK than Kroger is the simple obvious proof that Amazon can never be a monopoly except with tin foil hatters and conspiracy theorists. I guess it can therefore be said that Walmart is rightfully compensatory intrusively and Amazon beautifully blends in to any background....I can only imagine the rather dark and dingy prospects of a 24hour self automated Amazon convenience store future, no different than seeing now, the garbage ladened Tesla charging stations where even in the bright of day and next to a Mall and B of A....plug in cables lavishly strewning the parking lot asphalt in a modern day UNABSTRACT artful kind of way....",2024-09-18
"UPDATE: Case is moving for consideration to the Federal District Court (Oregon) judge.  Decision to be rendered, but no timeline available. Stay tuned!apnews.com/...",2024-09-18
"@LenceFlatu Yes, and and they closed all their stores in my area.",2024-09-18
@Tommcma Oh there's soo many times from Office Max to Milk producers and so forth these blocks are all political and hurt business and thus the consumer.This merger absolutely should be allowed.,2024-09-17
"Rite Aid exited BK no problem. *""Franken-Food""* people have some serious issues in the head better off sticking with non alcoholic beverage market for North America until Congress starts properly vetting whether any food currently being put forward as such for sale anywhere in any major chain is safe for consumption.",2024-09-17
"@Tommcma I shop at neither, but know that Amazon is their big competitor. Amazon is a lot bigger than they are. It is hard to argue they have a monopoly, it is easier to argue that Amazon does.",2024-09-17
It is very risky but I believe the merger needs to happen. The FTC blocked drugstore mergers and now they are all cutting back. Rite Aid even went bankrupt. Government runs the government not businesses.,2024-09-17
"@OldCurmudgeon If the case leads to a series of injunctions, it will take a long time for this merger to get resolved-one way or another. The level of opposition SEEMS to easily TRUMP financial logic.In the current POLITICAL climate of this country, EMOTION will defeat financial LOGIC almost every time.",2024-09-15
"@William Cohen Let's not kid ourselves here. This proposed merger is a bad deal for consumers, as well as a bad deal for employees. Only shareholders benefit.""Let me educate you. Shareholders OWN the business. And, of course, lots of employees are shareholders, too. A company that is a financially stronger entity is more able to compete effectively. The competition in this space is predominantly non-union, so this helps make union jobs safer, and there will ultimately be more of them.True capitalism wins every time. Those who put their capital at risk deserve the rewards. Personally, I took a huge risk, and am even buying more shares to hedge my bets against possible outcomes. The courts should not screw shareholders preemptively in ANTICIPATION of a crime-that is not the American way.Just look at the financial heft of the other top competitors in the space. The case against the merger is an ""argumentum ad absurdum."" The FTC DESERVES to lose!!",2024-09-15
