Conversation,Date
"@quickmio @quickmio I know yhet Qualcomm wants to borrow certain x86 ""microcode"" or whatever to mix with their Snapdragons to get the edge over the clone pack.Anotehr reason I think why Qualcomm is interested in Intel as whole or for the chip design division is that Qualcomm probably plan to develop Windows smartphones.  20 years ago  , x86 was too cumbersome and power hogging to use in personal digital assistants, (remember PDAs?).  Arm chips were power efficieint but not that powerful back then.  We pushed on  and Androids came . ARM exploded.Back then, we had 180 nm nodes     very weak chips   during the days of Pentium...  . ARMs were laughingstocks back then.Intel ignored smartphones but this doesnt mean Intel will never come back ot smartphones or PDAs  . We can forget PDAs.The reason for Windows phones is better connections wtih PCs that is not going to go away ..I have frustrations with my Androids working with my PCS for decades.I think Androids are just lame.Apple phones works well with Macs, dont they?  take a hint.. will ya?Intel and Qualcomm will merge and kick all the fabless Android clones out in the orbit with Elon Musk's satellites.",2024-10-05
"@RUBYRUBY3 TSMC $750 billion  Intel will catch upIntel merged with Qualcomm will kill off all ARM clones .nothing anti trust investigations can do about it.Apple, NVDIA Broadcom  AMD will be forced to build own fabs to stay competitve with Intel Qualcomm",2024-10-02
@OilIsDEAD Without FABs just stop and think about this.Apple Inc. (AAPL): $3.46 trillionNVIDIA Corp (NVDA): $2.98 trillionBroadcom Inc. (AVGO): $822.62 billionAdvanced Micro Devices Inc. (AMD): $266 billionQualcomm Inc. (QCOM): $189.52 billionWith FABsIntel Corp (INTC): $97.92 billionOne of these things is not like the others:,2024-10-02
@webchow I have seen it. While there is some truth behind it I still think is more of Qualcomm generating not enough revenue to sustain the acquisition,2024-10-02
"@webchow Missing the point if you have a good product with your IP and you improve it by wrapping it in another companies IP you can't be free of them and then they control your product.AMD reverse engineered the INTC chip still tied to INTC over that.AMD came up with 64 bit INTC had to license it, did not stop them from jerking AMD around for a decade.Handing INTC AMD's marketing plan and amount of production with release dates would be a disaster.",2024-10-02
"@RUBYRUBY3 Patents are Patents. Intel can reverse engineer anything. There's nothing that could be learned in manufacturing that couldn't be learned in the engineering department. As long as agreements are in place, there is nothing wrong with intel manufacturing anyone's chips. There's nothing else to understand.",2024-10-01
"@OilIsDEAD ""We dont really need Apple , they are just toys.""AAPL Market Cap	3428.07BINTC Market Cap	            97.11BOK",2024-10-01
"@OilIsDEAD "" AMD is always welcome no matter what!""Sure INTC would screw them so no they will never go there.""AMD gave up on their GPU because they decide to prioritize their x86 chps to be made at TSMC as it is limited in availabilty.""Correct, drop the $400 product for a $12,000 product smart move.""AMD could have gained on Intel in x86 had AMD used IFS services""I hope your listening to yourself INTC would give space to AMD to build chips that beat INTC. I have said this in the past AMD should take all AI profits and buy all INTC 18A production for the next 5 years leaving INTC with nothing for their own market share. Wafers are not where the real profit is it's in the CPU/GPUINTC would make pennies compared to AMD if this happened.""AMD can afford to build their own fabs now if they wish to..""AMD will never again own FABS the suck up most of the profits.At 400 million per machine and $20-30 billion per FAB Real men chain themselves to FAB financial anchors.",2024-10-01
"@OilIsDEAD Intel has been actively investing in high-NA EUV lithography machines from ASML. They have secured several of these advanced machines for their production needs. However, the exact number of high-NA EUV machines Intel will have by 2026 is not explicitly stated in the available information.Intel is expected to use these machines for their 14A process technology, which is anticipated to be in production around 2026. Given their significant investment and strategic plans, it’s possible that Intel could have a substantial number of high-NA EUV machines by then, but the precise number, such as 12, is not confirmed.",2024-10-01
"@OilIsDEAD ""TSMC have to ration to other fabless chip makers like AMD AWS, Mediatek, Apple, et etc and are swamped already.""They have several companies buying the blocks they need for targeted markets, more than a year in advance. This what a successful IFS looks like.Let me know when INTC is swamped so far just like last IFS failed attempt nothing is going on in the swamped department.If I can't talk you out of it mortgage the house and buy INTC hard, best way to learn the price of dreams. The market is an excellent teacher.",2024-10-01
"@OilIsDEAD ""No other fabless ARM clones will gain access to IFS if ever. ""They have not ran to INTC at all.",2024-10-01
INTC 18a will be near the same in performance TSMC history says it delivers. 18A who knows if volume will be there.,2024-10-01
"@RUBYRUBY3 From tehre, I can gauge that Qualcomm can dominate IFS services for making Snapdragons while Intel makes x86 as usual after merger.No other fabless ARM clones will gain access to IFS if ever. They had their opportunities for several years and they blew it.Or at least Quaclomm will get the first serve at IFS .. if there is still spare capacity then who knows.. Mediatek can scrap a few chps there.",2024-10-01
@RUBYRUBY3 there is no knowin gtill Qualcomm show Intel their wallet and Intel might find Qualcomm offer acceptable  . I am sure that Intel will accept only if taken over as whole not cherry picks.,2024-10-01
"@vortex generator costly to produce, sold cheap, at a loss.  Just like with solar and battery.",2024-10-01
@RUBYRUBY3 Qualcomm sells more than one model of chip.  They might look forward to being able to sell a significantly differentiated higher tier and lower tier chip and benefit from better market segmentation.  They would also happily pay a premium for 50 or 100 million halo chips to better challenge Apple in the mobile space.,2024-10-01
@RUBYRUBY3 Why?   this is the least of my concerns..  AMD is always welcome no matter what!AMD gave up on their GPU because they decide to prioritize their x86 chps to be made at TSMC as it is limited  in availabilty. AMD could have gained on Intel in x86 had AMD used IFS services . Their loss .AMD can afford to build their own fabs now if they wish to..,2024-10-01
