Conversation,Date
"I agree, great valuation for a high-quality position.  At 2Q24 they also have net cash and investments per share of $2.50.  Adjusting share price from $19.50 to $17/share with Net Free Cash Flow in 1H running at over $3/share; the price to net free cash flow is about 5x's.  LOL   No wonder the Johnson family has been buying!",2024-10-03
Still  a chronically mismanaged semi private company. With a rotten Quant rating.,2024-09-23
I am concerned that the current CEO was chosen because of her last name. Wealth management is a tough business and you need competent management.,2024-09-22
@Croogie thanks for reading and commenting. I agree it could be a takeover target though Johnson family control would make a deal more difficult,2024-09-22
"in the long run it ia also a take over candidate. Some asian bank or T.Row Price or similar are my best bet.It is in deep value area so a no brainer while waiting for some ""raider"".",2024-09-22
"Thanks for reading and commenting.If you enjoyed my article, please consider liking the article, subscribing, and enabling real-time alerts so you can be notified when we publish future research.Happy investing to all!",2024-09-22
Speaking of $RKT (and $UWMC w 5% dividend):“6 times when it makes sense to refinance your mortgage”finance.yahoo.com/...,2024-09-16
"CEO, John Barry, has made massive insider purchases of PSEC stock and equally stated, he is making a sh_tload of money in not only the management fess he gets, by owning the external management company (PCM - Prospect Capital Management ) that manages PSEC but also in the dividend income he receives from his purchases of PSEC stock - just massive income here.",2024-09-15
"@KEEPYOURMONEY  At the conference call he was rude - he presented the facts but even insulted those who disagreed or didnt understand.   This was two weeks or so ago.  The next couple of days he started a buying spree that has lasted all two weeks.   I wondered if he thought being rude would discourage investors, and make it cheaper for him to buy the several million shares.",2024-09-14
A thousand shares of DG for the Director is a drop in the bucket.,2024-09-14
"John Barry is very smart when it comes to investments  and running PSEC.         I tend to follow follow his purchases and have always done well .  He nets about $4,300,000 a month in dividends from PSEC and whenever you see an insider purchase and hold this many shares  again it is where my funds are going .",2024-09-14
"• ""In a recent transaction, Brittany Bagley, CFO of Axon Enterprise (NASDAQ:AXON), sold 4,338 shares of the company's common stock at $378.95 per share, resulting in a total sale value of approximately $1.6M. Following the transaction, Scott's direct ownership in the company stands at 98,825 shares"".Who is Scott here?",2024-09-14
@qwerty11 It’s hard to not invest in a profitable company with a large cash pile.,2024-09-12
"Most people don’t know BEN is a top 10 largest asset management firm in world, even bigger than TROW (AUM). Plus a dividend aristocrat with a well covered dividend. At this price, it’s a bargain that won’t last!!!",2024-09-11
Interesting that people seemingly still put so much trust in this co. (after the adverse events)...,2024-09-11
