Conversation,Date
@Green Jacket Adding to my comment below. Any reversal of exuberant rate cuts (and mortgage rates) will drop BLDR like a rock.,2024-10-08 11:32:56.043774
@sgossett I too have been amazed by the run. It was an F on valuation from Schwab at $290,2024-10-03 00:00:00.000000
"AXON is a trump trade. Over 150x P/EBITDA, I think around 100 P/E... worth 3 times Nividia? Give me a break. This is a total meme stock by now. It's actually quite frustrating. I bought puts on it with 12% of my portfolio and it has went up since the strike.. insanity. Just goes to show not to mess with meme stocks. At least I've made 40% on my portfolio with vix calls for the strike. I learned a serious lesson from this AXON trade and my past CVNA puts.",2024-10-01 00:00:00.000000
"Loved his LOTR films, Peter Jackson will be a great CEO.",2024-09-19 00:00:00.000000
"@Green Jacket to be fair, debt to ebitda has to go above 3x at cycle trough to be a problem. Lumber futures have not gone nearly up as much as bldr.",2024-09-18 00:00:00.000000
@bigfish1977 I know but a long time ago I researched LOW and HD.  It was when HD was having problems with Nardelli as CEO.  I picked LOW to start a position and I've added to it on dips.  HD eventually did get its act together.  Both are attractive.,2024-09-18 00:00:00.000000
"Have a starter position in LOW, just wish I had started sooner.",2024-09-18 00:00:00.000000
On the right track:“US Mortgage Rates Drop to Two-Year Low Ahead of Fed Rate Cut”www.bloomberg.com/...,2024-09-18 00:00:00.000000
"Agree with this call and I'm positioned accordingly.  Long XHB, LOW and BLDR.",2024-09-18 00:00:00.000000
Forget BLDR. Buy mini housing trifecta $BZH $TPH $TMHC“Canada Home Sales Pick Up With Buyers Boosted by Lower Rates—Monthly transactions hit the highest level since January”www.bloomberg.com/...,2024-09-16 00:00:00.000000
BLDR is the best short in the market. Total debt close to  4 billions and negative tangible assets of (-122 million). Good luck when the music stops.,2024-09-12 00:00:00.000000
This company just feels like a long term winner to me.,2024-09-11 00:00:00.000000
