Conversation,Date
It will be interesting to see HUM stock after earning report.,2024-10-06
"@Marystrata, 3rd. level CGA Thank you! Is this based on Technical Analysis? From which indicator is the 'High Risk' number derived?",2024-10-04
@discernED I remember those days. Even storage firms are up on AI. Memory firms are up on AI servers. AI needs faster networks on the edge.Much of this is marketing while Coherent confirmed ai-related  growth.,2024-10-01
Reading some of the events in the courts (what's available in the public domain) is some drama.Maxlinear creating an entity from an Entropic purchase to sue  cable operators?Wow!  And this was before the $SIMO termination after both companies cleared the necessary regulatory approval.What have I bought?!!!,2024-10-01
Positively mentioned by Druckenmiller at the Grant's Interest Rate Observer conference,2024-10-01
"So all of Europe can't get a single combat helicopter into Ukraine but they can do this? Name *ONE* computer business based in Europe that makes an entire Machine plus software and sells to ... even themselves. Nokia is the only Company that comes to mind when talking ""computers"" and ""Europe."" What's left of Blackberry is another but still in Canada tho. Is this what is being talked about here?",2024-09-26
"@Chris Lau APP, PEGA, and GPN, in that order, seem really interesting.  TY!",2024-09-13
@RealRural QQQJ maybe?  Index fund though and newer so performance isn't that impressive yet.,2024-09-10
"@Pingili I'm not saying but today. in fact, I'm adding to bonds at this moment. but I have 4 off this list and will add as I deem appropriate. ddog I got for $80 and will add more shares at some point.",2024-09-10
"Good ideas and theory on this press release, but way too much research for this ancient investor. Anyone have recommendations if there is/are mid-cap tech ETFs or CEFs to look at? I'd be happy to get decent performance with diversified tech risk from a mid cap fund.",2024-09-10
"I actually see quite a few solid companies here with share prices that should appreciate considerably, if not immediately. Some names I don't recognize and a few I find questionable but overall not a bad list to generate some ideas for further research.Mid-caps are something my portfolio needs desparately and I would like to open ~5 positions in a few new stocks over the coming weeks (usually 1/4th to 1/3rd the size of what I consider a full position). I'd like at least 3 to be mid-caps. I'm really eyeing TER, but my portfolio is already considerably overweight in the semiconductor industry.",2024-09-10
These are the buys - Use Margin of safety*$VNT	49%$TDC	46%$MKSI	38%$PLTK	34%$CCCS	32%$APP	32%$DOX	31%$WEX	30%$PEGA	26%$TER	23%$GPN	23%These are the stocks with negative margin of safety - avoid:$SAIC	-10%$HUBS	-15%$BBY	-18%$DT	-19%$BILL	-21%$U	-26%$MDB	-29%$SMAR	-29%* Data source www.stockrover.com/...,2024-09-09
@brainleft are you being sarcastic?! A good number of these are rated hold by the Alpha quant system.,2024-09-09
@brainleft I already have 38 stocks I want to research further thought!,2024-09-09
"@Alex Pitti well now we have homework don't we? $ doesn't fall out of trees. why not put these in your own screen for debt, assets, and somethings like roi and roe?",2024-09-09
