Conversation,Date
"@North Carolina Guy Carvana roughly sold 100,000 cars last quarter (970m/100k) = 9,700  per unit sold unbelievable",2024-10-06
www.barchart.com/...Amazing.  $970 million sold by insiders in three months.  Yet the stock goes up??,2024-10-06
"@bottomupanalysis with a close above 180, we could get together and celebrate how smart we were in seeing the enormous investment potential in CVNA (while bears fought the rise every step of the way -- well done on that, haha!).",2024-10-05
@effiiciency your Russian mail order bride will leave you soon and take all the I'll gotten cvna loot,2024-10-03
"@bottomupanalysis ""To celebrate our 4 millionth car sold, we are announcing Ernie Garcia, or glorious founder, will be selling 4 million shares!""",2024-10-03
"@effiiciency heading towards the next resistance level is my bet. As expected, analysts should begin to raise their price targets. Citi just raised theirs to 195.",2024-10-03
"The crickets aren't chirping?????????????  WTF. Could it be because CVNA................the STOCK....................established a new 52 week high of $179.93?Ax halted just under $180.  Hmmm. For future reference, the all time high in CVNA..............the STOCK......... was $376.80 on 8/10/21.  Presently there is only 5 points or so of overhead supply (175 to the aforementioned $179.93)Capitulation occurred 12/28/22 $ 3.62. with 12  million shares exchanging hands. Capitulation of weak hands means accumulation en masse by strong hands.  Either the ax in his duty to maintain a fair and orderly market OR Garcia. Andy has been routinely selling his accumulated shares at a MASSIVE profit and you construe it as panic?  Uh huh. $180 is now the focal point in the non-existent future.I'll keep YOU ""posted"" if that occurs.",2024-10-03
"Regardless of tonight's close, CVNA.................the STOCK.........................now has a new published 52 week high of $179.93.  Actually 104 weeks. Ax stopped it just ""short"" of $180.  HmmmmThat's now the focal point in the non-existent future. Any bets, kiddies?",2024-10-03
"Not just ""sell""  STRONG sellFunny how this NO position BS is written........... then forgotten.  Maybe induces some of the more impressionable. This literary ANALysis was posted June 24th at a prevailing price of $119.50.As I write, I can book at $176.95Translation, $57 point PER share opportunity cost.  Alternatively you missed 48%.  Thus far. Can YOU read mind OR would you like me to expand? BASHING one of my stocks, with NO positon, nor intent. sets my off like an Iranian rocket.",2024-10-01
"NEW quarter. Surpisingly CVNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE STOCK........................is up 2%.whereas the S&P.  down1%.  Guess that's 3% alpha. But that's only one session within a price TREND.  That trend measures 293% over 200 days.  Oh no, down from 400%. Momentum is slowing.  So, either the trend is ending OR there's room to move.Which is it, you saavy funnymental ANALysts? ?????Can't speak for anyone else, particularly in a chat room, but not going anywhere. Worth continued risk.  Yes it is. Keep YOUR eyes open for some news fluff, and I'll keep my eyes on the price.",2024-10-01
"New quarter and a new broom sweeps cleanSurprisingly, up 2% in a down market.  Call that relative strength.  But, it's only one session within a price trend. That trend, point A to point B, over the last 200 days presently 293%. Momentum, the pace, has come down from 400%. Either the trend's done OR there's room to move.  It's worth the risk to continue holding. Exchanging a PROVEN position for fresh risk is not2smuckingfart.It's also a taxable event.  Foreign concept, kiddies?",2024-10-01
"@RoyGraham Oooooh, you're a pro!!!Any relation to Ben?  Or crackers?More interested in being ""right"" rather than making money soothes that eggshell fragile ego. A broken clock is right twice per day.  Lookin' forward to ""it"", aren't cha?We'll call today ""relative strength"" but $175 will remain a magnet.  For awhile.",2024-10-01
