Conversation,Date
"I've been adding to some existing positions during the recent weakness/lack of love for the sector. I expect it to move bigly with continued inflation, dollar weakness and geopolitical stress.Disc; long/overweight XOM, APA, CVX, OXY, DVN, XLE, ENB, KMI, PSX, NFG, UNG, SU, (OGZPY, LUKOY)",2024-10-06
"Big oil is an in interesting investment and I own most of them, but you must remember these are commodities and price sensitive to the economy. I bought them all when oil crashed to about 30-35 a barrel and the dividend yields were spectacular and the price was low and many SA authors were screaming sell sell sell. That’s when they were attractive. So the morale of the story is wait as long as it takes for oil prices to seriously retreat before buying them.",2024-10-06
"Great homework, great article. CVX is definitely trading at a longterm bargain IMO. All your noted positives plus 37 consecutive annual dividend increases, 4.43% dividend growth rate, expect a lot of deep water start-ups in Gulf of Mexico over next 12-24 months, plus a very underrated/unknowen alternative energy portfolio. Thank you for the article.",2024-10-06
"@Danil Sereda Yeah this entire sector is extremely undervalued. CVX is so low that I had to jump on it at $140.00. The escalating violence between Israel, Hezbollah and Iran could very well result in the IDF targeting of Iranian oil facilities and Iranian mining of the Strait of Hormuz. We also have the ongoing Ukraine war, which has already seen targeting of pipelines in the earlier phase of the conflict- Russian oil being attacked might be the next show to drop. When we consider China’s economy beginning to improve, demand will increase with the fears of shortages. Also consider the increase power demand that will come from all those data centers being built. Sure, renewables are expected to benefit from this, but so will natural gas - yet another area CVX is involved in its upstream side of the house. Timing couldn’t have been better for companies like CVX, EOG and Canadian counterparts such as CNQ and SU. The same goes for the midstreams. Overall this article is perfect for considering future opportunities that are now beginning to emerge ",2024-10-06
"Thanks for your thoughtful analysis of Chevron, which I bought about 3 years ago as part of a 12% energy income allocation in my retirement portfolio (including AM, OKE, PAGP, WMB and KMI).  I knew about zero surrounding energy stocks, but read media reports about a major purchase by Buffett-Berkshire and followed along and bought CVX in low 100s with a 5% dividend raised by 6%, 6% and 8% respectively over the past three years with all proceeds reinvested.  I kicked off another round of buying as the stock fell into the $140s and after reading the latest update in the Value Line Investment Survey, which says the stock will be a market performer over the next 18 months, but has good prospects out to 2027-2029 with a projected price range between $220 and $270 per share.  This seems like a good moment to build or add to a position if you can look ahead for a few years.",2024-10-06
"@InvestorMan Sr. yep. For midstreams, I went with EPD, ET, and WES ",2024-10-06
"I couldn’t agree more here. CVX is dirt cheap, and this is the perfect time to load up on shares before the Middle East escalates further into violence and China’s economy continues to show improvement. The acquisition of HES’ Guyana assets will add even more value (provided XOM’s complaint is dismissed). I started a position in CVX a few weeks ago, and have been steadily adding shares. So far, it’s been a great addition to my portfolio to go with my EOG, CNQ and BTE O&G holdings. If you like CVX as much as I do, then you’ll love CNQ - their oil reserves, focus in areas outside of the Middle East and dividend yield makes it another attractive pick.",2024-10-06
@Money 29 I’d argue it’s undervalued but yeah - a solid stock for sure,2024-10-06
"Fair valuation and a nice yield on dividend aristocrat CVX, solid stock for a long term portfolio.",2024-10-06
"No need to own XLE, just CVX and XOM. Throw in a pipeline company and you have the sector covered.",2024-10-06
