Conversation,Date
"@ocbearclaw It would make no difference what rate they charge as they would still have the issue of people being unable to pay it off.  Banks and any lending institution need to make money as well and there are too many people out here that ""just need to have the big screen TV,"" because it is more important than maybe buying food and then when the bill comes, they make the minimum payment, oh and they all need cellphones.  I have not paid interest on a charge card for 40 plus years.  Maybe a little restraint in usage would help, remember you can go and borrow money from a bank and pay the 8-10%.. You see there are alternatives",2024-10-05
"I think the banks should charge whatever interest rates they want, BUT when the interest rates are like 20% a year, it’s a black hole that nobody can pay back.. I’ve seen family and friends just give up and BK because the black hole is too big. Maybe they should at least ponder lowering the rates so the consumer could actually have a chance to repay their debt, it might help them in the long run",2024-10-05
It would have been better if it is explained how it is going to benefit the consumers and the bank.,2024-10-04
I would prefer that DFS not merge with Capital One. I see more benefit for the latter and worry that their strong historical ROIC will be diluted.,2024-09-27
@Chancer DFS and COF are most certainly not considered weak banks.,2024-09-27
"@StaryStaryNights Maybe this article will help - Usury Laws by State, Interest Rate Caps, The Bible & More - wallethub.com/...",2024-09-27
"@CatchingFIRE A. The U.S. budgeting process is terribly broken. My consistent suggestion to address this issue is to end baseline budgeting. For example, all the money budgeted to address COVID remained in the baseline after COVID was no longer an issue. Why?We need to get to a zero-based budgeting approach, which may have been the only positive thing ever attempted by President Carter.B. You say, ""....my understanding is that trickle-down economics has been pretty thoroughly discredited."" No, it hasn't been. It fact, pretty much the opposite is true. (BTW,  I don't refer to it as ""trickle down,"" which is a pejorative characterization, but rather as ""flow through."") Federal revenues DOUBLED during the Reagan presidency, despite lower tax rates. The problem was lack of spending discipline. That lack of discipline was only reined in during the late 1990's, as a result of the passage of the Balanced Budget Act. The result, as you probably know, was a budget surplus for a year or two. Alas, both parties allowed the act to lapse in the early 2000's, primarily in response to 9/11.",2024-09-27
"@Tyler Durden 42 Marquette ruling details the legal mechanics of Marquette are about as dry as it gets. The case involved two banks: Marquette National Bank of Minneapolis, where the state's usury law capped interest rates for loans at 12 percent; and the First National Bank of Omaha in Nebraska, where the state laws allowed an interest rate of up to 18 percent. To make up for the low cap in Minnesota, banks in Minnesota could charge an annual fee, which they did. But then, First National Bank of Omaha started marketing its no-annual-fee credit cards to Minnesota residents.Seeing itself at a disadvantage, Marquette sued, charging that the Omaha bank was violating Minnesota's usury law. The Supreme Court ruled, essentially, that state usury laws don't apply to nationally chartered banks based in other states. Plus, nationally chartered banks can ""export"" the interest rates allowed in their own states to customers throughout the country.The ruling made a sweeping interpretation of the National Bank Act, a law passed by Congress in 1864 as the United States was three years into the Civil War and in desperate need of financing for the Union's war effort. Until then, banks were only chartered by states. The National Bank Act created a way for the federal government to charter its own banks, which could issue bank notes backed by government bonds.The Smiley case sets stage for high fees The Marquette ruling also set the stage for another landmark Supreme Court decision regarding the credit card industry, Smiley vs. Citibank. In that case, a California woman, Barbara Smiley, had filed a class action lawsuit against Citibank's South Dakota-based credit card division, claiming that the $15 late fee she was charged on her credit card bill violated California state law. Citibank responded that the late fee was, in effect, interest and was covered under the National Bank Act. The Supreme Court agreed; the result was an increase of late fees and other fees from $10 or $15 to the $39 fee that credit card customers may see today.Michael Donovan, one of the attorneys who argued the Smiley case before the Supreme Court, says that the pair of decisions ""probably caused terrific abuses in the credit card market. Because they both created such ambiguity as to what law would regulate credit card lending, it was unclear for many, many years who had primary regulatory authority over credit offered in interstate transactions. ... It probably stunted the growth of an honest credit card market for over 20 years."" The result, he says, were the kinds of ""tricks and traps based on legal gimmickry"" that led to the Credit CARD Act of 2009 and the Wall Street reform law that included a Consumer Financial Protection Bureau.Both of those federal laws are designed to protect consumers -- but don't expect either of them to change the industry practices protected under the Marquette and Smiley decisions.Since the laws were set by the Supreme Court A President cannot overcome such usury laws by executive order and as such the laws governing. Many credit-card companies can still charge annual fees for their use, but basically is a way to circumvent any so-called usury rules.",2024-09-26
"@Tyler Durden 42 It differs because utilities are regulated monopolies, so they have price caps in return. Lenders aren't in the same situation.",2024-09-26
@nckadams you might like to look into principles of natural justice. You will find religious tones in those principles and they are also very much the foundation of laws in my view.,2024-09-26
