Conversation,Date
"@Blackgold2006 I think there's a lot of us DVN holders hoping anyone takes us out. It gets no respect, even after last earn report, which was spectacular costs coming down profits going up. With the new pipeline in service now they should be making some money on natural gas instead of losing money.",2024-10-08 10:57:44.605848
"@Philip3 Sounds bearish all right.  Zacks Earning ESP is -3.61%, not good.  And WOW, SA shows 15 downward estimate revisions as we move toward earnings in early November.I guess the author thinks its an undervalued stock.  Or maybe an income play.  I'd rather buy $ET and get return of capital.",2024-10-08 10:57:44.605848
"@Thomas44 Would love to see COP, EOG or CVX take DVN out.",2024-10-08 10:57:44.605848
"@Sti Selini From my brokerage:  (Bear opinion) ""After incorporating sunk costs from leaseholds, acquisitions, exploration, and infrastructure, Devon's capital base inflates to a level that could threaten excess returns.Devon’s profitability in the Permian can’t be matched in other parts of its portfolio.Production growth could periodically outpace midstream capacity additions in the Permian Basin, creating bottlenecks like Devon faced in the first half of 2023."" Downgrade: ""2 stars out of 5."" Price target $36. (CFRA)",2024-10-08 10:57:44.605848
"@Sti Selini  I got in at $55.41 after reading 16 straight buy articles and am still down 22% today.  Stone Fox suggested I keep on buying more :)  I have never blocked or removed an analyst, but SFC may well be the first. I suspect that when the war premium is over, DVN's drop will be outsized. Fingers crossed the short rally continues.",2024-10-08 10:57:44.605848
"DVN: worst purchase of the year. After reading 16 straight buy articles, I jumped in. Still down 22%. Hopefully the run will continue. When the the war premium comes to a close, this will be back to $38.",2024-10-08 10:57:44.605848
"@Stone Fox Capital I guess you haven't been in the markets very long.  Falling knife stocks are quite common. For those of us those who have been stung, we are very hesitant to average down to the bottom as you suggest we should. Very questionable advice.",2024-10-08 10:57:44.605848
@Sti Selini $DVN is the type of stock where you don't worry about the falling knife theory. Those buying the dip look really good now.,2024-10-08 10:57:44.605848
"Nice rally for $DVN, but the stock isn't anywhere close to all-time highs like $XOM. -Devon Energy (NYSE:DVN) shares continued gains for seven straight sessions, as the stock closed 0.5% higher at $42.6 on Monday.-The company gained about 8% in the preceding six sessions. Overall, the stock has lost nearly 6% so far this year, compared to the over 20% rise in the broader S&P 500 Index.",2024-10-08 10:57:44.605848
@Steve Mmm Schwab paid half a day late. Sounds like many have received the total div of .44 in two .22 payments. Some received both on Monday. Some half on Monday and half on Tuesday.,2024-10-02 00:00:00.000000
"Despite the false narrative of trump and the republicans, as I have been writing on Seeking Alpha for a few years now: we live in a ""New Age of Energy Abundance"" and the U.S. is energy independent (by an estimated ~3 million boe/d) and is the #1 petroleum producer on the planet and the #1 LNG exporter on the planet. This is one reason the XLE Energy ETF is one of the worst performing sector ETFs over the past decade (if not the worst ...) and if it wasn't for Putin & Netanyahu's wars, the results would have been even worst, and likely significantly so. Meantime, note the American ""big-3"" (Exxon, Chevron, ConocoPhillips) aren't making any significant investments in wind, solar, and battery backup capacity. As a result, they are increasingly ill-prepared for the 21st Century of electrification and they are increasingly contributing to global warming, and we saw the results of that with the horrific recent hurricane that laid waste to so much of the Southeastern U.S. and took more than 100 lives.There is no way the planet will stop burning up as long as the ""Big-3"" (little 3?) refused to invest some of their cash-flow directly into renewables. Further, the supposed ""carbon sequestration"" is a total disaster, ineffective, and waste of time, money, and resources. What a world!",2024-10-02 00:00:00.000000
@RockNBlues I got half the div on Sept 30 and the other half on Oct 1,2024-10-02 00:00:00.000000
"The dividend I received yesterday (9/30/24) was 22 cents per share, whereas I had expected 44 cents.  I find support for both dividends in what I have read.  Can anyone advise as to what it was supposed to be the dividend?",2024-10-02 00:00:00.000000
