Conversation,Date
"@Michael Fitzsimmons Flood water in your state, in your home. Send $50bn to Israel & $60bn to Ukraine that ought to fix it.",2024-10-03
I sold my D investment earlier this year and bought ENB that has a higher and safe growing dividend (not frozen) and owns D's former most valuable money-making pipeline assets.   I'm in a much better investment position with ENB!,2024-10-01
@OnWi don't matter if you sold over $80 if you also bought over $80.,2024-09-30
Where were you when I was buying this in the $30s?,2024-09-30
@stupidguy2023 Glad I sold over $80!! It’s all a matter of timing with most stocks hey.,2024-09-30
Glad I was buying in the low $40s. Next i look shares are north of $55. Nice.,2024-09-30
"@Jamjack - lol, I never said otherwise. What a sophomoric response ... it's right up there with ""we need CO2 to live"" or ""climate is cyclical"". No one (certainly not me...) ever said otherwise.Meantime, the reality is that Florida homeowners can't afford home insurance (even if they are lucky enough to find it ..) and beach-houses in North Carolina continue to fall into the ocean:www.youtube.com/...So, you may agree with trump and his non-science backed assertion that global warming is a ""hoax"", but you are paying for it anyway - with your car and home insurance, and indirectly with Federal debt due to massive (off-budget ...) increases in natural disaster ""recovery"" fund:www.cbo.gov/...So you can look in the review mirror at Spanish treasury ships (seriously? lol), but I'm an engineer that prefers to look at modern day science, facts, and statistics. And I have no time for nonsense. MUTE!",2024-09-26
@Bulldog67 Thanks for sharing those comments.  It's also notable that Dominion sold about half the CVOW project to third party.  That generates significant cash flow and lays off a big chunk of the any risk associated with the project.,2024-09-16
"@user anita i did roughly the same trade/swap :)  DUK is now about 12% of my very concentrated portfolio...while Leo nicely points out some of D's upsides, i am going to hold my DUK and avoid D...",2024-09-14
"@jimoc Indeed, if an investor doesn't follow the business, nor understand the business and its changing backdrop, then insists upon a ""buy and forget"" strategy .... they are likely to experience poor returns.  You snooze, you lose.  You own your investment decisions.",2024-09-11
"@Ray Merola While many people will disagree with this statement, ET’s management team, including KW, is light years ahead of the management team at D.  I have a huge position in ET (owned a lot of ET and also CEPQ which they bought) because I believe in management.  I have $0 invested in D, because I do NOT believe management is running the company to maximize shareholder returns!ET is selling at a fraction of the price of D, has a much higher growth potential, and a higher tax deferred yield than that of D.",2024-09-11
