Conversation,Date
We really need Chinse solar panels but we place tariffs on as if we are trying to protect our domestic solar panel industry that is almost nonexistent. First Solar is the only large name worthy mentioning but it is small . We dont really want solar farms anyway. We want rooftops to help cover our crazy utility bills in California especialy.We are still avodiing telurium mines ..it is obvious!!  We dont want tellurium.,2024-10-08 11:32:35.992156
FSLR has own politics for themselves..  They are not friendly to shareholders.. This is something to keep in mind!    I am very concerned about future tellurium supplies.. We should know or hear about new additional supplies by now but so far nothing except that token one from Rio Tinto for about 20 tons. ayear.The most recent stats on world production of tellurium was in 2022. nothing for 2023 and 2024.. Looks like the same  .There is a tiny exploration company focused on tellurium depoists in this continent  and they are struggling as if politics has much to do with it... from FSLR themselves?>?,2024-10-08 11:32:35.992156
"I have searched for the latest data on currrent tellurium production and the most current as from 2022.  That year, FSLR was not producing more than 5 GW or 10.. Now FSLR has doubled manufacturing in just two years already.It is well known that tellurium is a byproduct of copper they are nascent in quantities with lousy yields . Probably China has increased tellurium since 2022 and probably remains silent in light of recent anxiety over Taiwan and new sanctions against China on many products.I find it rather curious that China remains to supply tellurium regardlessly. Mabye our govenment is careful about crossing certain lines that might trigger stoppage of tellurium sales to FSLR. All the more imporatnt reason we have to start developing our own ""primary"" tellurium mines here in North America. There is only one exploration company that focus solely on tellurium although one of their depoists are actually a porphory kind that also contains copper, moly , gold and silver as well as tellurium which is exceptionallly high in grade as about 5 ounces per ton which is unusual. But the other deposit is pure primary tellurium deposit that is way higher in grade ore  more like over 50 pounds per ton or even 90 pounds . That company chose the porphory one as the first one to explore which I find it unusual. They also develop a tellurium thermoelectric device that can run on propane  to generate electricity  that will be manufactured soon as a way to draw down the ""mysterious"" inventories of tellurium outside here and force FSLR to buy that company out to shut down that frivilioous thermoelectric device.More to the point, I ask why everyone is keeping their distance from anything to do with tellurium supplies as if they hope that FSLR will stumble on sudden shortages of telllurium one day before they swoop in cheaper FSLR shares.I find that all silly !",2024-10-08 11:32:35.992156
"@ESP equity research Besides solar panels,  eveyrone is starting to look at mini nukes and gensets instead ... This will screw up everything!",2024-10-08 11:32:35.992156
"@ESP equity research They will charge you princely for disposal of your Chinese solar panels.. it wont be cheap.you will have to pay for it to be recycled which is ironically much higher than FSLR 's kind. FSLR include free recycling on all customer's contracts.. All of them!! Tellurium is rare so it must be recycled and it is not as hard as silicon crystalline which will be manytimes higher. Still, we will charge you for ""recycling"" and  dispose of it at landifills anyway.too expensive to recycle silicon crsytalline . which is ironic",2024-10-08 11:32:35.992156
"@ESP equity research i dont really care about most things with ONE EXCEPTION...   future tellurium supplies for FSLR.  At the rate , FSLR has been expanding, I figure FSLR has already used up the world production . Everyone is now scraping  off the bottom of the barrel now. Some may be stockpiling and we are probably mistaken for thinking that tellurium supply is a non issue.. Even if it is an non issue, I still question future FSLR expansioin in the long term. If you think 25 GW is all we need  and call it as a niche as such. you are probably mistaken.FSLR is the only manufacturer of totally recyclable solar panels.  Nothing from China or Texas!!We will have a colossal land fill headache in the future.",2024-10-08 11:32:35.992156
"@Turre Not sure about $400, but a Harris win would be a great tailwind for FSLR. We really need new capacity on the grid, and load growth has just begun...ESP",2024-10-08 11:32:35.992156
"@Quality Dividend Growth Nice balanced article. I have written bullish articles on FSLR in the past. Still like the company, just fell the share price got a bit too high. But now that it has moved back down in price i may have FSLR as a buy again.I am concerned about the POTUS thing - tRump could be a risk to the subsidies FSLR will get for 4 years. But as a long-term investor, you can look past 4 years.Still like JKS and CSIQ better based on valuation and global footprint. CSIQ also has a more diverse BIZ model. All 3 could prosper - the world needs a lot more electric capacity so we can have many winners in the solar space...Good luck with FSLRESP",2024-10-08 11:32:35.992156
Agree that no matter what it will take until 2026 to feel the potential effect of an IRA cancellation on the company results. If Harris wins this stock will catapult to $400-$500 in 2025 when the monster EPS is realised.,2024-10-08 11:32:35.992156
"@OilIsDEAD Yes cheaper if made anywhere. All solar production is really automated - both Si and CdTe - so it can be made anywhere...CSIQ will be producing a lot of modules right here in Texas and at a much lower cost than FSLR...Also, stop the racism again folks from Asia - it is repugnant...You and the FSLR CEO need to make positive themes for FSLR - not just the MAGA hate crap...ESP",2024-10-08 11:32:35.992156
