Conversation,Date
"Just discovered this company. What's up with the negative (common) equity? When I first look at a new stock, that's usually where I start - a quick review to (hopefully) see that the company is increasing common equity, not diluting thre heck out of its shareholders, etc. One of several dozen ""checkpoints"" I run through quickly on the financials of a new stock to get familiar w/ the dollars and cents side of the business. Did not get very far on MCK given the steadily declining common equity and wanted to come here and ask first, before spending a ton of time. Any answers? Obviously ""equity"" is a fungible number and more important for some companies than others, or sometimes, not at all. Thanks in advance!",2024-10-06
"Why is there even a ""correction"" right now? It's already a value stock",2024-09-30
"Looking at the long term chart, it looks like the company became overbought, just like in 2015. The stock has usually traded at or below 15x earnings for the past 20 years, with it trading in the trashcan around 8-11x earnings from 2016-2022.It traded near 15x earnings once more from 2022 through late 2023, when it suddenly blew up to 21x earnings, a level it hasn't seen since... 2015. I think there's a good chance this thing bottoms around 15x earnings, which would be $450-$480 today. That would be a reasonable price looking at forward growth projections and historic valuations. It appears to be there after today's selloff.I suspect this is a decent level to add shares or start a position. I'm not sure the selloff is over when the stock previously averaged 10.5x earnings from 2016-2022.",2024-09-24
@Merit1 The sell-off looks like an opportunity to accumulate more shares to me. My position is full now and I will hold from now on. I believe this will be an excellent DGI stock in the next decadeLong $MCK,2024-09-24
"Keeps tanking on no news... I am out, still with a triple but it could have been a quadruple had I sold at the top.",2024-09-24
"Good article. I am looking to deploy my cash as my previous expectation of a steeper market correction turned out to be incorrect. I am a buyer at today's price of ~$507.I think the valuation was too low in the previous years which is why I disagree with the Fast Graph that implies overvaluation. Many great companies have stagnated at 15x PE before expanding their multiples to 30x. This might become one of them, given the high earnings growthLong $MCK",2024-09-19
"@Celandina Berkshire had briefly owned it several years ago, but it was sold relatively quick.",2024-09-19
"I purchased a few shares of MCK to open a position in August and more than doubled that during the selloff between Sep 5 - 10. I also own COR as part of my exposure to the Health Care sector. While COR has a slightly higher dividend yield, MCK has a lower FWD PEG and better potential price gain. Both have better total returns than CAH over 5 and 10 years, although CAH does have a better yield for investors who prefer that over growth.",2024-09-15
"$MCK seems to go through long periods when it just sits there like a rock, then it takes off.Buying it when it is just sitting there like a rock seems like the best strategy.",2024-09-15
I always considered it a buffet style stock but never pulled the trigger - always seemed a bit lofty price wise..,2024-09-15
@ndardick You're not the only one. I expect people to be very careful until the meeting. Thank you for this info!,2024-09-15
