Conversation,Date
This company is a financial disaster.  It overpaid for Spitit's low quality-junk properties,2024-10-08 10:44:08.641185
"@ChristopherSmith This is comparing apples and oranges.  I divide my holdings into 3 buckets: growth, income and value.  The primary, pretty much passive vehicle for growth and income are index funds and CDs/Money Markets respectively.I consider value to be a hybrid of the first two.  It should give me at least as much income as CDs/Money Markets, but also grow.  I like 5% divi growth but I have to think (ie. research) hard about what to include and limit how much I invest .  O gives a bit less than that but is very safe, returns should more resemble income than growth.  I can feel comfortable putting almost as much in it as I would owning a commercial property myself.",2024-10-08 10:44:08.641185
@VoiceofSanitySometimes agreed . Buffet's going to cash for the 5% yield also,2024-10-08 10:44:08.641185
"The chart of the top 20 clients should create some concern.  Walgreens is closing 25% of their stores and has serious financial issues.  Dollar General is not doing well.  Red Lobster is a shell of what it was (pun intended).  CVS, while the strongest of the pharmacies, is still closing some stores.Personally, not a fan of O at 5% yield when I can make about the same amount with cash.  And while the stock price has had lots of ups and downs over the past few years (great opportunities for short-term traders), it is now sitting at about the average over that period which isn't a time to buy.",2024-10-08 10:44:08.641185
"I agree with previous comments that O doesn't appear to have a strong upside based on its current valuation (potentially gaining 9% by end of 2025 using the FastGraphs tool), but it does have a very S&P strong credit rating of A- and its price should benefit if the Fed interest rate continues to drop.",2024-10-06 00:00:00.000000
Thanks for another great article.  I always look forward to reading them.I have no regrets buying Realty Income over a year ago when it fell below $60.  Also no regrets adding to it when it fell to $53.  And no regrets getting monthly dividend payments from another dividend aristocrat either.,2024-10-06 00:00:00.000000
"@Leo Nelissen SOBO doesn't start trading in America until 10/7, tomorrow.  I have about $2k in SOBO stock as far as I can tell.  I'll hold until I can learn more, but I will potentially add to it.",2024-10-06 00:00:00.000000
"@Leo Nelissen  Thanks for the breakdown of 'O' from start to finish.  It is definitely a safe, steady income producer that retirees like me can count on for income that continues to grow, at an albeit slow rate, but growing none the less and is currently fair-valued to very slightly undervalued.  It's a core position for me but unfortunately I was adding when its price was a good bit higher.  My avg cost is $60.59/sh but I have full confidence it will in the future return near to or above the top of its trading range!  Still dripping and I don't mind the more than $1,100 monthly dividend dropping into my IRA one bit.",2024-10-06 00:00:00.000000
"@Leo Nelissen,From $PR, $LB, $VNOM, $VRN, etc., and soon to be issued $SOBO on the NYSE my laser focus has been energy recently- and still is. I rearranged my daughter’s portfolio a few months back with $O, $VICI, $ADC, $NNN, etc. Arguably the ship has left to dock and for some the port for open seas. But for me it was energy Leo!It is still an undervalued frontier but the valuation gap like with $O or $ADC it is closing daily.Hope you have a great Sunday evening!PS Can I join the “Me2’’ chorus about your energy exposés too! They are great!",2024-10-06 00:00:00.000000
"Realty Income is considered a typical autopilot investment due to its consistent and reliable dividend payments, which have been maintained for over 30 years without a single year of negative operational return. The company’s diversified portfolio, consisting of over 15,000 properties across 1,500 clients and 8 countries, provides stability and reduces risks. Additionally, Realty Income’s strong balance sheet, with low leverage and high credit ratings, ensures financial resilience. The company’s investments strategic and disciplined growth approach further support its long-term success.Long $OAutopilot investments like Realty Income fit perfectly into autopilot portfolios like mine, I would be inclined to say.",2024-10-06 00:00:00.000000
"@Sam_12 Interesting! Btw, what did you do with your SOBO shares (TRP spin off) - if you don't mind me asking?",2024-10-06 00:00:00.000000
"I own O, VICI, WPC, AM, ENB, TRP, CTO, VZ and PFE for income.  I expect all of these companies to appreciate somewhat over time. Of the foregoing companies mentioned, I overweight O, VICI, AM, ENB and TRP at a 2:1 ratio compared to WPC, CTO, VZ and PFE.",2024-10-06 00:00:00.000000
"@ChristopherSmith If you are looking for ""growth"" then I am not sure why you hold O. It's a great retiree or high dividend stock in a portfolio",2024-10-06 00:00:00.000000
"To say that that Realty Income is much better than its stock price suggests is hardly reassuring to the investor who bought it 8 years ago, the price being the same as it is today.  SPY and VOO have more than doubled in that same time period. Yes, it does hand out a minuscule regular dividend increase to preserve its “aristocrat” status, but this has hardly been enough to stimulate price growth. If you have a ton of money and want safety, this a good one.  If you’re a young investor trying to build a sold growth portfolio and build for your future, in my opinion, O is a dud.",2024-10-06 00:00:00.000000
