Conversation,Date
"Honestly reporter, why would software stocks be down in the wake of escalating Middle East violence?",2024-10-01
"What, No one buying blowing computers and phones? LOL!It will be back!!!",2024-10-01
@Tdog88 Seen as industry leaders aren't the same as being industry leaders. Growing at 12% says it all.,2024-10-01
"@Sorengard $S doesn't trade at a premium valuation, only $PANW and $CRWD despite their problems. seekingalpha.com/...",2024-10-01
"@Henry Miles Really? Guess the $S CEOs are ok with intrusions, hence the lower stock multiple, but faster growth.",2024-10-01
"The premium reflects the fact that executives are sick & tired of the intrusions, give it time, and remember IBM.",2024-10-01
"I hold PANW and I don't disagree with this thesis. In fact, I'd love for the stock to correct  ~25% from current levels as I sold deep ITM covered calls and value the stock at ~$250.  The problem is that, for now, this space commands such a premium multiple and it's pretty much a 2.5 horse race with PANW, S &...CRWD.",2024-10-01
"@Envision Research I kind of agree with your conclusion. Just to check, is there a link for PANW's EBITDA margins chart?",2024-09-30
Industry multiples are high because cybersecurity is software and a hot space right now - and Palo Alto (and crowdstrike) are seen as industry leaders so they will command higher multiples.,2024-09-30
Being in the industry I know that customers will do not shift from one firewall to another especially in the data center.,2024-09-30
Doesn’t PANW already have and sell the cloud products like Prisma?,2024-09-28
"Thanks Gary for the article.  When cyber security came into focus as the hot sector, I owned Palo Alto, ZS, and Crwd.  Sold PANW a few months ago, own the other 2 but have reduced my position in both by 50%.  The sector is ripe for consolidation.",2024-09-28
Fair value around 260. I will buy from 220.Buy S and FTNT atm,2024-09-28
I sold $PANW last week. I have the impression it has reached its peak for the time being. But I will be keeping a critical eye on $PAWN's further development.,2024-09-28
"Very interesting position, but I'll hold on for a while longer. Too much trading cuts gains short and helps reduce the federal deficit.",2024-09-27
