Conversation,Date
@Kirk Spano In order to get back to better there may be some resistance but that bit of resistance is far better for the future than the destruction we are seeing now.,2024-10-02
@boris gudonov Every one of these investment firms have a list. Maybe they're pitching their book. They want you to buy the price up! ;-),2024-10-02
"@golfcat1 we ought to control the border, but, we ought to be issuing enough work visas and green cards to offset Boomer retirements. That requires millions of immigrants per year.",2024-10-01
@santlo It won't. Markets will tank if the weird guys take over. They are a threat to democracy and capitalism.,2024-09-30
"@erbrown Don’t bet the farm on that. I don’t see cap gain tax on unrealized gains. For openers, evaluations are impossible, not only for the likes of farm land but also for 1000 shares of a publicly-traded stock, liquidity is a big deal. Then there’s the velue of the local family business. Not so fast.",2024-09-29
Stock Market at record levels under Biden-Harris …why will change  to Trump be better for market?,2024-09-29
@slodon28 of course it will - just ask Milton Friedman. Spending leads to inflation (Why I sold any bond holding/ blended fund before 2022). Don't make this so hard.,2024-09-16
@TJ Burke Wont all of that NEW that government spending increase inflation?,2024-09-16
"PGR is a rare growth stock in a commoditized industry.  Progressive is positioned for profitable growth heading into 2025, with tightened underwriting standards and stable reserves.  Next milestone is 20% industry market share.Bottom Line:  Stay lone.",2024-09-16
Spending will take off again under Harris. All her initiatives require new spending. It's objective reality and your lack of policy awareness or shallow partisanship does not change it.,2024-09-15
Communism or Capitalism. Hmmm Wonder which will be good for the stock market?,2024-09-15
Progressive has just delivered another blockbuster month with growth in the high teens and a combined ratio of around ~85%. Amazing and I wonder how long they can keep doing it.,2024-09-13
So this where all the money from increased insurance rates going to.,2024-09-13
It would be nice al least to know the reasoning behing certain picks.,2024-09-13
@TripLiars Can you name 1 Republican who supports this unrealized capital gains tax?,2024-09-12
"@Alkemist2030 , I stopped writing Sells in the spring, so now my method is Buy or Don't Buy, and Hold I used for Don't Buy.",2024-09-12
"Sell at $170.00-ish and Hold at 210.00-ish? What's next, buy at $250.00?",2024-09-12
"There should be heavy tax-loss selling of CRWD and AI stocks, and they could be much lower by October.",2024-09-11
"@PauloCostaSilva Exactly, funny how investment firms are always ""after the fact"" when issuing buys and sells.",2024-09-11
@slodon28 I saw it on some news article and most high profile donors have assured it is not going to happen,2024-09-11
