Conversation,Date
"@T.J. Detweiler I just checked your $ 0.4 low, which happened on Nov 1, 23. Vol. was 3.3 mn, which on NASDAQ means less than 1.5 mn shares effectively traded. If all of them were bought by end-customers (and not by MMs), all of the buyers could have deployed max $ 600 K. So nobody made any real money, even if he bought at the trough.Two days later, on Nov 3, sp closed at $ .69. And where are we now? At $ 0.62! But I will stop posting about QRTEA. I have better things to do.  Happy Posting!",2024-10-08 12:26:58.007708
"@hunter3 It is easy to use historical price points to support any argument on relative performance. We just can't go back and buy/sell based on that. We have only this question to ponder.....""now what?"".....and move forward. In less than a  year, QRTEA has been all over (I understand we are talking about sub $2 security that has a tendency to be highly volatile) but odds are high that we will see these sorts of exaggerated moves going forward as the stock will be susceptible to news flow. Any incremental operational improvement that makes free cashflow more durable.....the stock will get bid up. Odds of that happening are quite decent.www.google.com/...",2024-10-08 12:26:58.007708
"@hunter3 I have no intention to persuade you of anything. If you want to think, that there is anything comparable between MSFT and QRTEA, that is fine with me.",2024-10-08 12:26:58.007708
"@Sam323 I quote: ""QRTEA had a -98 % return in 10 years and you are seriously saying that anything comparable has ever happened to BRK, AMZN or MSFT? LoL !!""I point out that MSFT had an awful return for nearly 10 years from the .com highs to the 09 lows and is comparable. I was not a buyer of QRTEA 10 years ago and I am not a buyer of MSFT today.",2024-10-08 12:26:58.007708
"@hunter3 LoL! If you bought MSFT 10 years ago, you are up 800 %. If you bought QRTEA 10 years ago, you are down 98 %.",2024-10-08 12:26:58.007708
@Sam323 MSFT fell 75% from the highs of .com to the lows of 2009,2024-10-08 12:26:58.007708
"@T.J. Detweiler ""By that logic, Buffett, Bezos, and Bill Gates (among many, many, others) are all terrible businessmen""as I wrote QRTEA had a -98 % return in 10 years and you are seriously saying that anything comparable has ever happened to BRK, AMZN or MSFT? LoL !!""QVC was bought in 1995 with Malone at the helm""I wrote ""built"" not ""bought"". Please read first, then lecture me. The QVC system was built in the 80's and I had a good view, how it was done.c) Totally irrelevant because of a different tax status.d) When QRTEA traded at .4, which was very briefly and not in quantities suitable to an institution, two LINTA bonds traded at 18 and 28. Now they are at 33 and 50.  Obviously the returns on the bonds were very much better than on QRTEA, even if you don't include the coupons already paid. The CY on the two bonds mentioned were 23% and 29% and this was paid to the holders. Not like your theoretical yield on the QRTEAs which have NOT been paid to the shareholders contrary to the bond yields and the bond prices have performed better so far, too.",2024-10-08 12:26:58.007708
"@Sam323 I got nothing else to do, so I figured I'd respond. ""a) a great deal maker does not incinerate 50 % of EV""""e) And if you were a long term investor in QRTEA, say 10 years, you want to cry: -98 %. If you add the QRTEP dividends, maybe only - 60 % so far.""By that logic, Buffett, Bezos, and Bill Gates (among many, many, others) are all terrible businessmen, because each of them have had at least 50% declines in their stock prices over their tenures. Study Maffei's and Malone's history, they're best in class. Focusing on the stock price movement is a patsy's move. You seem to think that Maffei should have prevented a warehouse fire and a significant retail downturn that were both outside his control. All decisions in the midst of this environment have been very intelligent. ""b) .... NOT been built by THIS management team...""QVC was bought in 1995 with Malone at the helm. Maffei has been involved with QVC since 2005. I'm not sure where you're going with this.""c) ...Not clear to me, why dividends are so tax efficient....""Based on this comment alone, it's clear you're operating on incomplete information. If you're going to invest, you need to read everything you can get your hands on, and you haven't done that. Because they're redeemable in 2031, the preferred dividends are tax deductible as interest expense for Qurate. Preferred dividends don't normally get that treatment. Secondly, instead of distributing a $3 dividend which would have been fully taxable to shareholders, the preferred distribution gives the same value but defers the tax. Lastly, the dividends on the preferreds are qualified, giving them long-term-capital-gains tax rates. ""d).....Not sure why this (the bonds) is so much worse than the equity...""The common shareholders have benefited the most by management decisions in the last 1-2 years merely because bondholders have a cap on their returns, whereby common shareholders don't. When Qurate reduced debt by over $1 billion, the bonds get no additional value because they're contractual, but reducing debt by that much increases earnings to the common shareholders by $70 million. That's 18 cents a share. And to use your reasoning on the bonds, QRTEA shares bought at the lows of 40 cents (and we were buyers then), get a nearly 50% yield. That doesn't include all of the other operating improvements that have yielded common shareholders well over 100% on their money in the last few years. Shareholders have seen operating earnings more than double in the last year, and bondholders do not partake in that at all. They get their contractual payment and no more. I'm not saying the bondholders get a bad return. But logically speaking, the shareholders--as owners of the business--have fared better by management decisions. And just because the market hasn't noticed is irrelevant.",2024-10-08 12:26:58.007708
@User 18282742 And 31 days later possibly after tax losses booked and now buying back.,2024-10-06 00:00:00.000000
"@Sixty2nds To clarify...IMO the recent QRTEP Bottom of $32.70 will hold.Cheers,60",2024-10-05 00:00:00.000000
