Conversation,Date
"@appliance ""certainly this move implies something beyond a basic investment.""--How did you arrive at that thesis.",2024-09-29
"@Stephen Tobin The new CEO of Powerco was a VW QS board member prior to the agreement.  I think people are staking their reputation and these are smart people.  Conjecture on my part, certainly this move implies something beyond a basic investment.",2024-09-29
"@Martin Chuzzlewhit @Nelson Alves Good question. I tagged Mr Alves. The ability to reach profitability is faster (if they can actually produce a product at scale) with licensing but their long-term profits will be lower. Mr Alves, can you add a short article with updated long-term profits/revenues (Top and bottom line) along with stock share estimates",2024-09-29
@SummitNJ great point. I think that’s part of why Toyota likes its NiMH battery. It’s an excellent battery in this regard.,2024-09-28
"@SummitNJ  Very interesting.  Thanks.  If you’re correct that 2027 cars are finalized and contracts are signed, the California regs will be similar LIBs to what we have today.  They are still gaining market share, and using your California numbers EVs need a 9% annual growth rate.  Looked at another way, something like 28% (assuming additional 10% PHEV) would need to accept offerings similar to today.  Norway and China are past this or at it.  New battery advancements in 2028-2030 with 20-30% better range would help assure meeting this 2030 California regulation.  I agree the other “California states” are much more dubious.  If they are 12% today (US average is less, maybe 7%) getting to 38% EVs in 2030 is an annual rate of 20%.  That seems a real stretch for today’s EVs.  If your timing for advanced technologies is correct, these ~dozen states will need to relax the regulation.",2024-09-27
"@balaclava  Did you mean Sila or Silane?   If Sila Nanotechnology  30% Si anodes are $20/kg in high volume, that is $4/kWh, or half the cost of current anodes. If you meant silane, we are similar. I used $20/kg for silane and got $10-15/kWh for the anode material.The Meta AI on CVD costs are similar to what I got and used - $20/kg precursors are 30% of total cost.",2024-09-27
@JohnsonTV okay i rephrased the question about sila nano specifically and got thisCost per Kilogram (dependent on production volume):•⁠  ⁠Low volume (<100 kg/month): $50 - $100 per kilogram•⁠  ⁠Medium volume (100-1000 kg/month): $20 - $50 per kilogram•⁠  ⁠High volume (>1000 kg/month): $15 - $30 per kilogram,2024-09-27
"@JohnsonTV but the cost per kg of the CVD process?Meta AI says $20/kg for precursors, $50/kg for labor & energy of CVD processing.",2024-09-27
"@balaclava   A quick AI search for  Si CVD costs broke it down this way:  30-50% total cost in materials, processing 35%, balance other.  It’s a starting point. At 30% materials cost (most conservative), Si deposition into the carbon would be $5/kWh (silane at $20/kg or $1.50/kWh). Synthetic graphite is $12/kg (vs. $4-8/kg for natural graphite). If I did my arithmetic right, for a 30% Si anode in 70% synthetic graphite, Group 14 costs are somewhere between $10-$15/kWh, vs. ~$8/kWh for natural graphite anodes. New electrolyte costs need to be added to this $4/kWh difference.  Current electrolytes are $10/kWh.  Add 20% (guess), or $2/kWh for the new electrolyte, and I get nominally $6/kWh added on to current battery costs, or +5-10% $/kWh for the Group 14 approach versus today’s battery.  Argonne estimated SLDP’s cost as flat, but these seem within the “margin of error”, to use a contemporary term.",2024-09-27
"@funbrooklynite The $1.50/kWh difference is between bulk metallurgical silicon and electronics grade silicon from silane (at $20/kg silane).  You raise a good point, though.  Current anodes represent 10% of the cell cost.  Assuming cell costs are $80/kWh, this is $8/kWh.",2024-09-27
