Conversation,Date
"Silvercrest Asset Management (SAMG) is another undiscovered high yield dividend stock with a fortress balance sheet, as shown in the analytical article below:seekingalpha.com/...Moreover, SAMG's key multiples are low based on absolute and relative valuation analysis.",2024-10-04
"Here's a repost with yield and my margin of safety, sorted by yield.Ticker / Div. Yield / DIY* Margin of SafetyMPLX / 7.60% / -2%GLPI / 6.00% / 29%VICI / 5.30% / 20%KIM / 4.20% / 22%HAS / 3.90% / -28%REG / 3.80% / 10%TSN / 3.40% / 14%SO / 3.20% / - MTB / 3.10% / - SWK / 3.10% / 8%*DIY source: seekingalpha.com/...",2024-10-03
A list of dividend stocks without the dividend percentages is not helpful. It took a lot of wasted time to click back and forth to get the individual dividend rates.,2024-10-03
"I will add Resources Connection (RGP) to the list.RGP is debt-free, cash-rich, pays 6% dividend, while also being very cheap, based on all the key multiples.",2024-10-03
I hate these lists that pay no regard to recent price performance.,2024-10-03
"@Michael Fitzsimmons Flood water in your state, in your home. Send $50bn to Israel & $60bn to Ukraine that ought to fix it.",2024-10-03
@skaady I'm sorry to hear about your rising electric bill.I hope you are at least heavily invested in $SO.,2024-10-03
"@Curonian Research All investing involves risk, but if an individual pays attention the risk is reduced by the actions one takes.  Taking my own process, I believe that I have reduced my risk as I do pay attention and because I do.  I do not drip the dividends I receive but selectively reinvest them into a researched stock positions currently owned or a new position That should if research is proven out will enhance my overall return.  Like many processes the returns are not always 100% guaranteed but if one does pay attention (and I do) any mistakes that can happen are taken care by researching the cause and resolving the issue, which can also mean selling at a loss, although in my case I very seldom end up in the loss column. Unlike the many who wait and see what the so-called experts have to say or do nothing because they have not paid attention or are afraid to sell generating a loss with a wait and see attitude hoping for a better price only to lose more.  Does my process work?  Well for me I would believe that it does as my own history would indicate. Being one with no background in investing or having a career in that field I have done quite well. I do not use any analyst for investment help and all decisions are mine.  I do not make recommendations nor tell others how to invest their money (other than immediate family members to make suggestions if asked) but will discuss with others on what I do, even to the point of discussing some failures I have made. Overall, I am up +36.20%on growth with SO, + dividends as of this very moment (just looked) I am quite satisfied with the return.",2024-09-30
"@Curonian Research The main point of my post was to reiterate the scale of the increasing demand for electricity and the SO's favorable position in dealing with this demand. The growing demand will drive the long-term SO's profits and ultimately impact PSC to more favorable policies. Most electric utility investors, in general, and SO, in particular, are long-term investors holding this stock for a long time, often for decades. They are not traders seeking to make a quick buck. Yes, there is always risk associated with investing in individual stocks. However, as you pointed out, SO proved to be one of the most stable and predictable electric utility companies. Any short-term retreat of SO stock should be viewed as a buying opportunity and nothing else.I appreciate your overall balanced article, but I can not accept your conclusion. It is not time to lock in some of ""the capital gains of this year."" What we are witnessing now is just the beginning of a supercycle where electric utility companies, including SO, will be the major beneficiaries of the AI boom.",2024-09-30
"@jonesdl261 these are valid points, capital recycling can enhance returns but it adds to risks considerably, most retail investors probably should not bother with it.",2024-09-30
