Conversation,Date
"@Quipus Capital Nice write up again.SPWH appears to be a speculative play, mainly due to its high debt levels. However, the appointment of a new CEO, notable insider buying, and the strategic position taken by Stone House suggest a potential turnaround. When we examine key metrics—price-to-sales (P/S) at 9%, price-to-tangible-book (P/TB) at 47%, and the stock trading at just 1.91 times free cash flow (FCF)—SPWH looks significantly undervalued, making it an intriguing opportunity for those willing to take on some risk.",2024-10-06
"@rjm22 I'm more impressed with Stone House announcing a 5% stake on Sept 17th. CEO has taken an additional 60,000 share stake in last few weeks amounting to about a $150,000 investment. Stone House, on the other hand, purchased 1.9 million shares- far more meaningful. Stone House is an extremely focused investor, owning only 3 or 4 stocks at a time. It has owned LNW, Light & Wonder for at least 6 years. It is by far it's biggest investment over the years. it is up about 900% since 2018. That is impressive. Stone House had approximately $100 million invested 6 years ago. Now approaching $300 million. It is nice to see a successful investment fund and management step up and show interest at current stock price.",2024-10-05
"Both CEO and CFO bought more yesterday.ceo:Common Stock  10/02/2024    P    31,895  A  $ 2.3511 (1)  936,052 (2)  cfo:Common Stock  10/02/2024    P    10,000  A  $ 2.3  116,326.2 (1)  D     Form 4 SPORTSMAN'S WAREHOUSE For: Oct 02 Filed by: Stone Paul10K WIZARD 3:06 PM ET 10/3/2024 archive.fast-edgar.com/... Filed on: October 3, 2024Form 4 SPORTSMAN'S WAREHOUSE For: Oct 02 Filed by: White Jeffrey Justin10K WIZARD 3:07 PM ET 10/3/2024 archive.fast-edgar.com/... Filed on: October 3, 2024",2024-10-03
@Invest_2020 At least it rebounded from being down 10% to only being down 4% at the close.,2024-10-02
"@rjm22 -  I'm beginning to wonder if this is tax-loss selling by a large fund rather than any other potential weakness. I sold about 10k shares at around $2.90 and am gradually buying back 2,500 shares at a time.",2024-10-02
@rjm22 Lina Khan shut down the offer by Great Outdoors Group back in 2021 at $18 per share.,2024-10-02
@caseyjames I apparently never answered your point here. I suspect some if not many of their locations would be wanted by others such that their long term lease liabilities are overstated.I am not saying they will thrive or go bankrupt. Just that they could dispose of many of their leases for less than the remaining term.The fact that I am concerned about their long term viability seems to argue against me owning the stock. But I do.,2024-10-01
@rjm22 I just bought a fishing pole at the Wausau store today….$122.  Was going to buy some shotgun shells too but didn’t have what I wanted.  The store was decently busy for 9:30am on a Tuesday.,2024-10-01
"I did not sell any on the run over $3 but it seems I should have now that it's back to $2.55.Was hoping we might see some other directors buy more. Looking back I show 4 insiders bought last Oct. So their window may still be open?I lack confidence in their business long term. Hopefully they can sell out or downsize over time in a way that does not bankrupt them.Does anyone need or want to buy the company?  Hopefully if they need to downsize they will be able to close stores without huge hits to the balance sheet.Decades ago I took a very large position in a retailer that I knew would not make it. But my estimates of the worst case scenario were too optimistic. While they did not take huge hits to inventory during liquidation sales, their operating losses were larger than I expected during the liquidation.I made money in the end. Just not as much as I hoped for or expected.",2024-10-01
"The big down day was the big volume day. Average volume per yahoo is 493k per day.Date	Open	High	Low	Close*	Adj Close**	VolumeSep 17, 2024	2.9400	3.0850	2.8775	3.0800	3.0800	461,422Sep 16, 2024	2.9500	2.9950	2.8050	2.9100	2.9100	409,800Sep 13, 2024	2.6400	2.9400	2.5900	2.9300	2.9300	503,800Sep 12, 2024	2.5500	2.7800	2.5250	2.6500	2.6500	520,800Sep 11, 2024	2.4500	2.5500	2.3800	2.5400	2.5400	506,300Sep 10, 2024	2.4100	2.4100	2.2400	2.3800	2.3800	295,200Sep 09, 2024	2.3700	2.6050	2.3510	2.4500	2.4500	547,100Sep 06, 2024	2.3900	2.4350	2.2200	2.3900	2.3900	640,100Sep 05, 2024	2.2500	2.4200	2.1500	2.3900	2.3900	1,051,000Sep 04, 2024	1.8500	2.5350	1.8200	2.2300	2.2300	2,417,100Sep 03, 2024	2.1000	2.2000	1.9300	2.0900	2.0900	1,129,400Aug 30, 2024	2.2400	2.3000	2.0850	2.1000	2.1000	919,400Aug 29, 2024	2.2400	2.2850	2.1800	2.2400	2.2400	66,000Aug 28, 2024	2.3000	2.3450	2.2000	2.2300	2.2300	114,600-----------Yahoo & Simply Wall Street.....Investors who take an interest in Sportsman's Warehouse Holdings, Inc. (NASDAQ:SPWH) should definitely note that the President, Paul Stone, recently paid US$2.54 per share to buy US$101k worth of the stock. We reckon that's a good sign, especially since the purchase boosted their holding by 798%.---------------GuruFocus via yahoo says:On September 9, 2024, Paul Stone, President and Chief Executive Officer of Sportsman's Warehouse Holdings Inc (NASDAQ:SPWH), purchased 39,920 shares of the company, according to a recent SEC Filing. Following this transaction, the insider now owns a total of 904,157 shares of the company.----------Where did they get 798%?  He apparently directly owned 5000 shares prior to his buy. 39,920/5000=798%. And they are disregarding all his restricted shares.He did not buy the 5000 in the open market. Or maybe he did before he got the job in which case it would not be reportable.Here are Stones vestings which total 859,237 shares if my math is right.He stands to make $4.3 million over 3 years if the stock goes to $5.2. Includes (i) 330,097 restricted stock units scheduled to vest in three substantially equal installments on November 1, 2024, November 1, 2025 and November 1, 2026, (ii) 404,530 restricted stock units scheduled to vest in three substantially equal installments on April 1, 2025, April 1, 2026 and April 1, 2027 and (iii) 124,610 restricted stock units scheduled to vest in three substantially equal installments on May 1, 2025, May 1, 2026, and May 1, 2027, in each case, subject to the Reporting Person's continued employment with the Issuer. Each restricted stock unit represents the right to receive one share of the Issuer's common stock.",2024-09-17
