Conversation,Date
@Ajarn Brian ceg 1/2 position vst 1/2 position tln 1/8th position def not speculative but not core …. Core (large / stable) positions in my portfolio exampe vti vtv VGT vb schd spmo or in stock prg nvda kkr meta mfst Speculative (risk and volatility) examples for me are wgs rna nktx and crypto miners etc … and now smci (lol) Uuuu uec fall somewhere in bet spec From what I’ve been reading  ceg vst tln have room to run and held in solid etf like spmoI tagged you in the vistra article .. did you read the authors comment to my question?Look up spmo’s holdings overall …. It also includes pgr and KKR ;) Hope today is a good day w gct !,2024-10-08 11:46:49.505855
@sdm_376 Do you have $TLN and $CEG as core or speculative investment?Too late to invest now?,2024-10-06 00:00:00.000000
"My question of the weekend is Why have these stocks  gone up? Excellent answer.I am long VST and CEG. Just started a small position on GEV today. Based on your article, I see a buy, not a hold.",2024-10-06 00:00:00.000000
"@luca_m nothing to VST but CEG announced a deal, TLN is waiting for approval, the capacity auctions occurred, all very positive for IPPs with or without nuclear. when the market gets excited about a sector the stocks run before the results come in.",2024-10-06 00:00:00.000000
"@sdm_376 nothing goes straight up, but a few key events can keep the share prices up, one is when the TLN Amazon PPA gets regulatory go ahead, the other is the Dec power auctions for 2026, some analyst think it can double from the last one. And at any time more co location PPA announcement.",2024-10-06 00:00:00.000000
@Ricardo Fernandez but...it was about half price one month ago and...nothing has happened since. why was this not written then?,2024-10-06 00:00:00.000000
@Ricardo Fernandez Interesting. Ty for sharing Re:” i so what we are seeing now is a run on the shares with expectations of higher energy prices given the data centers' need for clean and continuous electricity”Any estimate of how long you think this run will last ? And/or metrics as to discern when the run is over (other than prices plateauing or decreasing)?,2024-10-06 00:00:00.000000
"@sdm_376 Hi. For the most part, I use consensus estimates and company guidance. I then calculate a 2-year price target with a PEG of 1.5x, i.e., in line with the market. For some stocks, I build simple models. I have the advantage of detailed data from Bloomberg and Capital iQ, which makes it easier to get a good operating picture.In the case of the IPPs, the analysts rarely incorporate higher electricity prices until the company discloses it, so what we are seeing now is a run on the shares with expectations of higher energy prices given the data centers' need for clean and continuous electricity.",2024-10-05 00:00:00.000000
@Ricardo Fernandez hi . What information do you use to make buy / sell decisions ? With a 10 year rapid growth projection it sounds like you think the nuclear arena of stocks are strong investments… not to taper off any time soon - right ?,2024-10-05 00:00:00.000000
"@luca_m Hi, not joking, yes its rallied like CEG and TLN on higher electricity prices, and co location data centers PPAs. Its not undervalued anymore, its at fair value on current estimates, which may change on new PPAs or auctions. But valuation depends on your own investment view, criteria. I look at price relative to cash eps growth and factor in balance sheet strength and management execution etc..I dont make buy or sell decisions based on performance ie a price chart.Of the three I see TLN with the most upside since they have not hedged prices yet.The nuclear power supply chain stands to grow rapidly over next 10yrs, from CCJ to GEV and even the small reactor idea like OKLO.",2024-10-05 00:00:00.000000
"@Ricardo Fernandez no wait so you are saying that after being up like 80% in a month, almost exclusively on hype (missed earning the last 3 times) this is undervalued? and you are an analyst. Please tell me you are joking",2024-10-05 00:00:00.000000
"@luca_m which is FOMO, the increasing price of VST ? TY",2024-10-05 00:00:00.000000
"@sdm_376 I call this FOMO, and these stories very rarely end well. we'll see",2024-10-05 00:00:00.000000
