Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABAT,American Battery Technology Company Common Stock,$1.06,0.03,2.913%,76371349.00,United States,,772700,Basic Materials,Metal Mining
APLM,Apollomics Inc. Class A Ordinary Shares,$0.1472,-0.0108,-6.835%,16187584.00,United States,,684862,Health Care,Biotechnology: Pharmaceutical Preparations
ARBB,ARB IOT Group Limited Ordinary Shares,$0.2654,0.0004,0.151%,7016513.00,Malaysia,2023,14382,Technology,EDP Services
CHEK,Check-Cap Ltd. Ordinary Share,$1.49,0.06,4.196%,8717647.00,Israel,2015,20194,Health Care,Medical Electronics
ENSC,Ensysce Biosciences Inc. Common Stock,$0.2199,-0.0036,-1.611%,1862811.00,United States,,241698,Health Care,Biotechnology: Pharmaceutical Preparations
ESSA,ESSA Bancorp Inc. Common Stock,$18.44,0.02,0.109%,186825247.00,United States,2007,4296,Finance,Banks
FIZZ,National Beverage Corp. Common Stock,$44.86,-0.48,-1.059%,4199427412.00,United States,,265910,Consumer Staples,Beverages (Production/Distribution)
FNGR,FingerMotion Inc. Common Stock,$2.10,-0.06,-2.778%,110696985.00,United States,,219550,Technology,Computer Software: Prepackaged Software
KITT,Nauticus Robotics Inc. Common stock,$1.34,-0.07,-4.965%,6230504.00,United States,2021,92402,Industrials,Industrial Machinery/Components
KVHI,KVH Industries Inc. Common Stock,$4.75,-0.09,-1.86%,93641909.00,United States,1996,20161,Technology,Radio And Television Broadcasting And Communications Equipment
KWE,KWESST Micro Systems Inc. Common Stock,$0.1668,0.0014,0.846%,2633772.00,Canada,,333256,Technology,Computer Software: Prepackaged Software
MBIO,Mustang Bio Inc. Common Stock,$0.2274,0.009,4.121%,8466698.00,United States,,151842,Health Care,Biotechnology: Pharmaceutical Preparations
NVVE,Nuvve Holding Corp. Common Stock,$4.54,-0.2425,-5.071%,2963362.00,China,2020,49406,Industrials,Electrical Products
ONCO,Onconetix Inc. Common Stock,$4.96,0.26,5.532%,41138815.00,United States,2022,78475,Health Care,Biotechnology: Pharmaceutical Preparations
ORGS,Orgenesis Inc. Common Stock,$3.83,-0.295,-7.152%,18272107.00,United States,,20843,Health Care,Biotechnology: Pharmaceutical Preparations
PEGY,Pineapple Energy Inc. Common Stock,$0.1124,-0.0127,-10.152%,980535.00,United States,,13796093,Utilities,Telecommunications Equipment
PRTG,Portage Biotech Inc. Common Stock,$5.47,-0.04,-0.726%,5735919.00,Canada,,37087,Energy,Oil & Gas Production
PSEC,Prospect Capital Corporation Common Stock,$5.20,-0.05,-0.952%,2230738728.00,United States,2004,1762861,Finance,Finance: Consumer Services
QSG,QuantaSing Group Limited American Depositary Shares,$4.66,0.94,25.269%,238186594.00,China,2023,9910399,Real Estate,Other Consumer Services
RGS,Regis Corporation Common Stock,$26.49,-0.80,-2.931%,60395823.00,United States,1991,52205,Consumer Discretionary,Other Consumer Services
RIME,Algorhythm Holdings Inc. Common Stock,$0.6001,0.1381,29.892%,5843084.00,United States,,159537066,Consumer Staples,Diversified Electronic Products
SEEL,Seelos Therapeutics Inc. Common Stock,$3.10,-0.31,-9.091%,1351470.00,United States,,243395,Health Care,Biotechnology: Pharmaceutical Preparations
SLRX,Salarius Pharmaceuticals Inc. Common Stock,$1.47,0.06,4.255%,2118501.00,United States,2015,18607,Health Care,Biotechnology: Pharmaceutical Preparations
SUUN,SolarBank Corporation Common Stock,$4.00,0.09,2.302%,132200000.00,Canada,,45400,Utilities,Power Generation
TCBP,TC BioPharm (Holdings) plc American Depositary Shares,$5.83,-1.76,-23.188%,3393177.00,United Kingdom,2022,624005,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TOI,The Oncology Institute Inc. Common Stock,$0.3244,0.0048,1.502%,24489115.00,United States,2020,35221,Health Care,Medical/Nursing Services
TRST,TrustCo Bank Corp NY Common Stock,$31.99,-0.24,-0.745%,608143752.00,United States,,46036,Finance,Major Banks
VRM,Vroom Inc. Common Stock,$9.70,-0.43,-4.245%,17658481.00,United States,2020,29889,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
