Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAP,Advance Auto Parts Inc.,$39.09,0.40,1.034%,2332667762.00,United States,,2870732,Consumer Discretionary,Auto & Home Supply Stores
AAT,American Assets Trust Inc. Common Stock,$26.31,-0.16,-0.604%,1602320649.00,United States,2011,193355,Real Estate,Real Estate Investment Trusts
ABR,Arbor Realty Trust Common Stock,$14.76,-0.22,-1.469%,2782981454.00,United States,2004,2069568,Real Estate,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation Common Stock,$6.63,-0.16,-2.356%,361459160.00,United States,2012,505569,Real Estate,Real Estate Investment Trusts
ADM,Archer-Daniels-Midland Company Common Stock,$58.86,-0.37,-0.625%,28143439768.00,United States,,1927956,Consumer Staples,Packaged Foods
AFL,AFLAC Incorporated Common Stock,$111.84,-3.42,-2.967%,62633342622.00,United States,,3066179,Finance,Accident &Health Insurance
AGR,Avangrid Inc. Common Stock,$35.74,-0.02,-0.056%,13828199998.00,United States,2015,750830,Utilities,Electric Utilities: Central
ALLE,Allegion plc Ordinary Shares,$146.01,0.40,0.275%,12721572275.00,United States,2013,487955,Consumer Discretionary,Diversified Commercial Services
ALSN,Allison Transmission Holdings Inc. Common Stock,$99.37,0.32,0.323%,8658891235.00,United States,2012,822586,Consumer Discretionary,Auto Parts:O.E.M.
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,$3.70,-0.05,-1.333%,2211083000.00,,,851336,Industrials,Containers/Packaging
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,$4.18,-0.22,-5.00%,1510463712.00,United States,2013,12910648,Consumer Discretionary,Movies/Entertainment
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,$42.49,-0.41,-0.956%,3414998292.00,United States,2013,173181,Finance,Investment Managers
ARI,Apollo Commercial Real Estate Finance Inc,$8.76,-0.13,-1.462%,1211917591.00,United States,2009,1235442,Real Estate,Real Estate Investment Trusts
ARR,ARMOUR Residential REIT Inc.,$19.51,-0.25,-1.265%,951416251.00,United States,,1547858,Real Estate,Real Estate Investment Trusts
ARW,Arrow Electronics Inc. Common Stock,$131.11,0.16,0.122%,6941509998.00,United States,,231698,Technology,Electronic Components
ASAN,Asana Inc. Class A Common Stock,$11.34,-0.19,-1.648%,2587383684.00,United States,2020,1663334,Technology,Computer Software: Prepackaged Software
ATIP,ATI Physical Therapy Inc. Class A Common Stock,$5.98,0.02,0.336%,26318070.00,,2020,8406,Health Care,Hospital/Nursing Management
ATUS,Altice USA Inc. Class A Common Stock,$2.39,-0.02,-0.83%,1100794278.00,United States,2017,2233947,Telecommunications,Cable & Other Pay Television Services
AVA,Avista Corporation Common Stock,$37.18,-0.70,-1.848%,2926205834.00,United States,,335826,Utilities,Power Generation
BALY,Bally's Corporation Common Stock,$17.54,0.03,0.171%,712686104.00,United States,2019,305812,Consumer Discretionary,Hotels/Resorts
BCH,Banco De Chile ADS,$24.20,-0.29,-1.184%,12223066825.00,Chile,,123397,Finance,Commercial Banks
BEN,Franklin Resources Inc. Common Stock,$19.58,-0.32,-1.608%,10240309259.00,United States,,4422006,Finance,Investment Managers
BGS,B&G Foods Inc. Common Stock,$8.22,-0.22,-2.607%,650727143.00,United States,,821588,Consumer Staples,Packaged Foods
BHC,Bausch Health Companies Inc. Common Stock,$8.16,-0.16,-1.923%,2995559354.00,Canada,,1165932,Health Care,Biotechnology: Pharmaceutical Preparations
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,$15.08,0.04,0.266%,0.00,,2013,132497,Finance,Trusts Except Educational Religious and Charitable
BKH,Black Hills Corporation Common Stock,$59.12,-0.83,-1.384%,4123528837.00,United States,,329716,Utilities,Electric Utilities: Central
