Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACP,abrdn Income Credit Strategies Fund Common Shares,$6.53,0.00,0.00%,0.00,United States,2011,600056,Finance,Investment Managers
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),$2.04,0.009,0.443%,2421902225.00,,2014,16994,Finance,Commercial Banks
BKKT,Bakkt Holdings Inc. Class A Common Stock,$9.81,-0.05,-0.507%,132597199.00,United States,,154301,Finance,Finance: Consumer Services
BOH,Bank of Hawaii Corporation Common Stock,$62.84,-0.76,-1.195%,2496661604.00,United States,,186605,Finance,Major Banks
CLPR,Clipper Realty Inc. Common Stock,$5.72,-0.08,-1.379%,91962099.00,United States,2017,23382,Real Estate,Real Estate Investment Trusts
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),$5.8199,0.0199,0.343%,498307805.00,Peru,,1572,Industrials,Building Materials
CQP,Cheniere Energy Partners LP Common Units,$50.30,0.56,1.126%,24347394237.00,United States,2007,69257,Utilities,Oil/Gas Transmission
CVI,CVR Energy Inc. Common Stock,$25.10,0.44,1.784%,2523318035.00,United States,2007,1220237,Energy,Integrated oil Companies
DDS,Dillard's Inc. Common Stock,$370.02,3.24,0.883%,5986517688.00,United States,,135886,Consumer Discretionary,Department/Specialty Retail Stores
IPI,Intrepid Potash Inc Common Stock,$23.28,-0.24,-1.02%,309192272.00,United States,2008,56476,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MED,MEDIFAST INC Common Stock,$18.57,0.13,0.705%,203107852.00,United States,,116685,Consumer Staples,Packaged Foods
SAVE,Spirit Airlines Inc. Common Stock,$1.86,0.17,10.059%,203704031.00,United States,,12935328,Consumer Discretionary,Air Freight/Delivery Services
SCCO,Southern Copper Corporation Common Stock,$117.57,-0.38,-0.322%,91840894316.00,United States,,767658,Basic Materials,Metal Mining
SUPV,Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares,$7.03,-0.31,-4.223%,642151582.00,,2016,986852,Finance,Commercial Banks
TCS,Container Store (The) Common Stock,$10.17,2.4804,32.257%,34971813.00,United States,2013,269801,Consumer Discretionary,Home Furnishings
WOR,Worthington Enterprises Inc. Common Shares,$41.78,-0.07,-0.167%,2090881938.00,United States,,206495,Industrials,Steel/Iron Ore
ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares,$18.78,-0.17,-0.897%,2258982855.00,,2021,6895963,Consumer Discretionary,Marine Transportation
