Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ALX,Alexander's Inc. Common Stock,$227.81,-2.92,-1.266%,1163491735.00,United States,,17005,Real Estate,Real Estate Investment Trusts
BBAR,Banco BBVA Argentina S.A. ADS,$10.81,-0.32,-2.875%,2207798651.00,Argentina,,372380,Finance,Commercial Banks
BKE,Buckle Inc. (The) Common Stock,$42.37,-1.03,-2.373%,2151285737.00,United States,,370164,Consumer Discretionary,Clothing/Shoe/Accessory Stores
GME,GameStop Corporation Common Stock,$20.90,-0.50,-2.336%,8914050473.00,United States,2002,5967584,Consumer Discretionary,Electronics Distribution
HMY,Harmony Gold Mining Company Limited,$9.38,-0.47,-4.772%,5797515097.00,South Africa,,3382301,Basic Materials,Precious Metals
MATV,Mativ Holdings Inc. Common Stock,$16.14,0.08,0.498%,876837538.00,United States,,268347,Basic Materials,Paper
MMI,Marcus & Millichap Inc. Common Stock,$35.81,-0.98,-2.664%,1386897057.00,United States,2013,76472,Finance,Real Estate
NL,NL Industries Inc. Common Stock,$7.51,0.16,2.177%,366846482.00,United States,,39369,Industrials,Major Chemicals
TEO,Telecom Argentina SA,$7.63,-0.31,-3.904%,3286527903.00,Argentina,,64560,Telecommunications,Telecommunications Equipment
TGS,Transportadora de Gas del Sur SA TGS Common Stock,$19.25,-0.32,-1.635%,2898130081.00,Argentina,,100202,Utilities,Natural Gas Distribution
TPL,Texas Pacific Land Corporation Common Stock,$985.57,4.20,0.428%,22649009653.00,United States,,94856,Energy,Oil & Gas Production
VHI,Valhi Inc. Common Stock,$33.80,-0.88,-2.537%,956364003.00,United States,,14635,Industrials,Major Chemicals
WLY,John Wiley & Sons Inc. Common Stock,$50.12,-0.21,-0.417%,2720469244.00,United States,,381097,Consumer Discretionary,Books
