,Symbol,Name,Buy,Analyst,Analyst_Numeric,Analyst_String
0,AADI,Aadi Bioscience Inc. Common Stock,0,Hold,,
1,ACRS,Aclaris Therapeutics Inc. Common Stock,0,Hold,,
2,ADSE,ADS-TEC ENERGY PLC Ordinary Shares,0,Hold,,
3,AIRS,AirSculpt Technologies Inc. Common Stock,0,Hold,,
4,ALLR,Allarity Therapeutics Inc. Common Stock,0,Hold,,
5,ALVR,AlloVir Inc. Common Stock,0,Hold,,
6,AMCX,AMC Networks Inc. Class A Common Stock,0,Hold,,
7,APDN,Applied DNA Sciences Inc. Common Stock,0,Hold,,
8,APOG,Apogee Enterprises Inc. Common Stock,0,Hold,,
9,APPN,Appian Corporation Class A Common Stock,0,Hold,,
10,AQB,AquaBounty Technologies Inc. Common Stock,0,Hold,,
11,ARBK,Argo Blockchain plc American Depositary Shares,0,Hold,,
12,AROW,Arrow Financial Corporation Common Stock,0,Hold,,
13,ASTE,Astec Industries Inc. Common Stock,0,Hold,,
14,ATHA,Athira Pharma Inc. Common Stock,0,Hold,,
15,ATRO,Astronics Corporation Common Stock,0,Hold,,
16,AUDC,AudioCodes Ltd. Common Stock,0,Hold,,
17,AUR,Aurora Innovation Inc. Class A Common Stock,0,Hold,,
18,AUUD,Auddia Inc. Common Stock,0,Hold,,
19,AVAH,Aveanna Healthcare Holdings Inc. Common Stock,0,Hold,,
20,AVIR,Atea Pharmaceuticals Inc. Common Stock,0,Hold,,
21,AVT,Avnet Inc. Common Stock,0,Hold,,
22,AVTE,Aerovate Therapeutics Inc. Common Stock,0,Hold,,
23,AWH,Aspira Women's Health Inc. Common Stock,0,Hold,,
24,AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,0,Hold,,
25,BANF,BancFirst Corporation Common Stock,0,Hold,,
26,BFC,Bank First Corporation Common Stock,0,Hold,,
27,BHF,Brighthouse Financial Inc. Common Stock,0,Hold,,
28,BHIL,Benson Hill Inc. Common Stock,0,Hold,,
29,BHRB,Burke & Herbert Financial Services Corp. Common Stock,0,Hold,,
30,BIRD,Allbirds Inc. Class A Common Stock,0,Hold,,
31,BLDP,Ballard Power Systems Inc. Common Shares,0,Hold,,
32,BLFY,Blue Foundry Bancorp Common Stock,0,Hold,,
33,BOLT,Bolt Biotherapeutics Inc. Common Stock,0,Hold,,
34,BPRN,Princeton Bancorp Inc. Common Stock (PA),0,Hold,,
35,BYND,Beyond Meat Inc. Common Stock,0,Hold,,
36,CAC,Camden National Corporation Common Stock,0,Hold,,
37,CACC,Credit Acceptance Corporation Common Stock,0,Hold,,
38,CATY,Cathay General Bancorp Common Stock,0,Hold,,
39,CBAN,Colony Bankcorp Inc. Common Stock,0,Hold,,
40,CBFV,CB Financial Services Inc. Common Stock,0,Hold,,
41,CBRL,Cracker Barrel Old Country Store Inc Common Stock,0,Hold,,
42,CDLX,Cardlytics Inc. Common Stock,0,Hold,,
43,CFFN,Capitol Federal Financial Inc. Common Stock,0,Hold,,
44,CGBD,Carlyle Secured Lending Inc. Common Stock,0,Hold,,
45,CGC,Canopy Growth Corporation Common Shares,0,Hold,,
46,CGNT,Cognyte Software Ltd. Ordinary Shares,0,Hold,,
47,CHCO,City Holding Company Common Stock,0,Hold,,
48,CHUY,Chuy's Holdings Inc. Common Stock,0,Hold,,
49,CMAX,CareMax Inc. Class A Common Stock,0,Hold,,
50,CMCT,Creative Media & Community Trust Corporation Common stock,0,Hold,,
51,CMLS,Cumulus Media Inc. Class A Common Stock,0,Hold,,
52,CNSL,Consolidated Communications Holdings Inc. Common Stock,0,Hold,,
53,CNXN,PC Connection Inc. Common Stock,0,Hold,,
54,CODX,Co-Diagnostics Inc. Common Stock,0,Hold,,
55,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,0,Hold,,
56,COFS,ChoiceOne Financial Services Inc. Common Stock,0,Hold,,
57,COMM,CommScope Holding Company Inc. Common Stock,0,Hold,,
58,CPTN,Cepton Inc. Common Stock,0,Hold,,
59,CRCT,Cricut Inc. Class A Common Stock,0,Hold,,
60,CRMT,America's Car-Mart Inc Common Stock,0,Hold,,
61,CTNT,Cheetah Net Supply Chain Service Inc. Class A Common Stock,0,Hold,,
62,CZNC,Citizens & Northern Corp Common Stock,0,Hold,,
63,DGICA,Donegal Group Inc. Class A Common Stock,0,Hold,,
64,DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,0,Hold,,
