headline_polarity,convo_polarity,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Actual,Predicted,Probability_Class_0,Probability_Class_1
0.1,0.15,2.48,8.03,0.57,3.25,0.14,1,0,0.53,0.47
0.12,-0.53,0.62,-4.25,0.74,5.87,0.09,1,0,0.54,0.46
0.09,0.15,1.43,13.9,0.64,8.51,0.11,1,0,0.64,0.36
0.05,0.05,3.63,12.23,0.4,6.44,0.07,1,0,0.6,0.4
0.05,0.16,-0.1,-11.49,0.54,2.95,0.16,1,0,0.78,0.22
0.01,-0.02,7.33,8.82,0.62,2.79,0.05,0,1,0.26,0.74
0.09,0.18,1.51,28.98,0.93,7.43,0.06,0,1,0.2,0.8
0.15,0.42,0.35,3.73,0.7,6.78,0.13,0,1,0.37,0.63
0.1,0.15,-0.12,28.09,1.02,5.84,0.07,0,1,0.19,0.81
0.34,0.15,0.98,7.33,0.99,3.32,0.03,0,1,0.35,0.65
0.13,0.89,0.37,28.55,0.82,2.41,0.07,0,1,0.17,0.83
0.05,0.15,5.26,20.11,1.07,5.54,0.03,0,1,0.26,0.74
0.04,0.41,1.93,12.51,0.42,6.35,0.05,0,1,0.47,0.53
0.1,0.15,36.11,8.28,0.96,3.91,0.02,0,1,0.04,0.96
0.17,0.46,9.34,36.52,0.92,3.03,0.03,0,1,0.0,1.0
-0.07,0.85,2.75,7.45,0.94,3.94,0.04,0,1,0.1,0.9
0.13,0.15,5.97,110.22,0.4,0.81,0.01,0,1,0.34,0.66
0.18,0.03,2.47,15.38,0.68,3.48,0.02,0,1,0.14,0.86
0.05,0.15,13.95,191.34,0.83,3.3,0.04,0,1,0.17,0.83
0.1,0.6,2.38,32.92,0.85,4.16,0.04,0,1,0.07,0.93
0.16,0.15,3.24,17.6,0.87,3.61,0.05,0,1,0.11,0.89
0.06,0.15,2.0,19.66,1.04,4.69,0.02,0,1,0.18,0.82
-0.11,0.24,0.26,12.26,0.81,3.43,0.09,0,1,0.28,0.72
0.13,0.15,-0.19,2.12,0.91,7.35,0.04,0,1,0.22,0.78
0.25,0.15,0.24,8.28,0.7,6.06,0.05,0,1,0.43,0.57
-0.01,0.15,-0.47,0.72,0.89,5.68,0.07,0,1,0.49,0.51
0.09,0.15,6.11,14.62,0.89,19.28,0.13,0,1,0.25,0.75
