headline_polarity,convo_polarity,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,last2PolarityDeltaConvo,last2PolarityDeltaHead,ConversationR2,HeadlinesR2,HeadlinePascal,ConversationPascal,Actual,Predicted,Probability_Class_0,Probability_Class_1
0.1,0.4,1.64,3.96,0.81,19.26,0.14,-0.76,-0.93,0.17,0.05,0.07,0.64,1,0,0.52,0.48
0.12,-0.53,0.62,-4.25,0.74,5.87,0.09,0.0,0.24,0.0,0.04,0.03,-0.53,1,0,0.57,0.43
0.03,0.11,-0.65,0.9,0.7,1.21,0.07,-1.48,0.74,0.13,0.05,0.01,-0.14,1,0,0.58,0.42
0.04,0.0,0.71,3.44,0.97,7.71,0.09,0.0,-0.15,0.0,0.03,0.04,0.0,0,1,0.22,0.78
0.27,0.15,2.06,5.0,0.95,10.94,0.1,0.04,-0.13,0.0,0.0,0.38,0.0,0,1,0.2,0.8
0.01,-0.02,7.33,8.82,0.62,2.79,0.05,0.66,0.75,0.19,0.0,0.05,0.33,0,1,0.2,0.8
0.18,0.15,5.28,3.83,0.85,5.21,0.04,0.04,0.47,0.0,0.01,0.19,0.0,0,1,0.11,0.89
0.17,0.15,-1.43,12.57,0.97,3.24,0.07,0.04,-0.36,0.0,0.01,0.22,0.0,0,1,0.17,0.83
0.13,0.13,0.0,13.84,0.71,2.69,0.2,-0.16,0.0,0.21,0.0,0.09,-0.03,0,1,0.36,0.64
-0.07,0.85,2.75,7.45,0.94,3.94,0.04,0.08,0.09,1.0,0.11,-0.24,0.87,0,1,0.27,0.73
0.38,0.64,2.95,11.61,0.75,4.42,0.13,-0.02,-0.16,0.0,0.15,0.59,0.63,0,1,0.37,0.63
0.1,0.6,2.38,32.92,0.85,4.16,0.04,-1.24,0.0,0.31,0.06,0.05,0.34,0,1,0.06,0.94
0.01,0.15,5.54,18.2,0.96,3.58,0.03,0.04,0.3,0.0,0.01,0.02,0.0,0,1,0.05,0.95
0.03,0.33,3.69,22.15,0.65,2.96,0.02,0.65,0.27,0.0,0.1,-0.0,0.62,0,1,0.16,0.84
0.1,0.35,13.21,34.78,0.74,6.59,0.04,0.0,-0.2,0.03,0.01,-0.01,0.2,0,1,0.05,0.95
