,headline_polarity,convo_polarity,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,last2PolarityDeltaConvo,last2PolarityDeltaHead,ConversationR2,HeadlinesR2,HeadlinePascal,ConversationPascal
PC1,0.3028029661312069,0.6010408434444766,-0.16675777617545906,-0.17443913860076093,-0.028745330736208653,-0.06503615333873322,-0.09803007824896844,0.03627438003447195,-0.017051017764803528,0.17165924785935047,-0.03316891728008285,0.30503737780858164,0.5907078495652452
PC2,-0.10112624648501274,0.09758357536995305,0.4946032346377111,0.5020635935875022,0.07335334912251383,-0.40456692319122106,-0.4656098874480638,0.09784640292437113,0.030633589743563467,0.1108809155560305,-0.16581780582499248,-0.15323005260652162,0.15466458334639865
PC3,0.5774106222980151,-0.15387577527652835,0.32006277477293077,0.3109871821899825,0.09947504968990184,0.11975845336917944,0.11424550719578892,-0.0660743064611746,0.10732946285877898,-0.04966008785388325,0.11589743440207895,0.5811479530390964,-0.19224955828296056
PC4,-0.19312751016233817,0.2001856375249837,0.2836740037920064,0.2863122035217166,0.29323497667980625,0.5491889428384333,0.45218674932576197,0.1577182472744441,-0.21325727473706624,0.04361095448758244,-0.06068956118482908,-0.1578784650117291,0.25932469151620335
PC5,-0.07893185950723115,0.14864524866731513,0.1847617427288247,0.08989548932013189,-0.5124173332587691,-0.10034681594815288,0.09080035078270378,0.1904113515818894,-0.18481899355329176,-0.453994198836699,0.6013783720042047,-0.0109609174315186,0.1013369460651098
PC6,0.09702243845022411,-0.22901367547253434,-0.07703832303320818,-0.14645888630242185,0.104068446690048,-0.0818478953183931,-0.06845698954852054,0.8734376299367331,-0.29667928895388795,0.07203724396731728,-0.10097646710966873,0.1378152090096291,-0.05699173766463915
PC7,-0.08812099100099337,0.04328425982313319,0.007430462973897367,-0.011902958117992796,0.0206727622390966,0.05167670524937794,0.11884858710324996,0.3677388458028117,0.9037281598830497,-0.05913071905336382,0.08747298575121404,-0.0570009520080607,0.08116600645790195
PC8,-0.1316618958014806,-0.07805151835282623,0.03356942801773044,0.009898195239963492,0.003525879782856614,-0.10448900499228587,0.10999719925571566,-0.013018471223174274,-0.009834487709581757,0.7925966428087372,0.5666958655273308,0.025803220286482777,-0.04508670488744427
PC9,-0.07370895681947894,0.06374293028263109,-0.0836135375628168,-0.11033142801426234,0.7831685472042179,-0.15973230666164845,-0.1644305595942462,-0.05904956397679595,-0.03883439957090243,-0.32075954485940794,0.4435931065804941,0.01801915332310202,0.021298063191953022
PC10,0.015054567598386283,0.0024079153230126913,0.0387858698783061,-0.003574647584454628,0.09416049498524778,-0.6772022287005824,0.6984996145683984,-0.04201614972481489,-0.026506378382481384,-0.049014317031126624,-0.18844592837156504,0.002376374872305024,0.049918011994787855
PC11,0.5093251120462627,-0.06633088265694953,-0.48467522797365065,0.466763588482529,0.014880167975844866,-0.015817312833588053,0.037047673546233735,0.05517400779659124,-0.014287360840207743,0.012102497311495255,0.13250094298322856,-0.5051789811920094,0.07354325267642652
PC12,-0.4664187797839539,0.047714145415867604,-0.5098890266383767,0.5278249085501409,-0.03021396422148247,-0.030802265515129948,0.0007260843820892731,0.024540240314784682,-0.007623576107370168,-0.042364173075326396,-0.05219435353613912,0.4823283572638332,-0.0436895639358282
PC13,-0.06340843763804146,-0.6871838775661656,0.0014062770928080339,-0.019778441703325135,-0.026756680437194327,0.021727645196743414,-0.024597415995065038,-0.12813927348600856,0.017368243520636588,-0.06028454027062434,0.03276365418608949,0.09802715708695287,0.7003807143548281
