,headline_polarity,convo_polarity,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,last2PolarityDeltaConvo,last2PolarityDeltaHead,ConversationR2,HeadlinesR2,HeadlinePascal,ConversationPascal
PC1,0.3086766906169073,0.5946769969879668,-0.2009720324795113,-0.21197985163610986,-0.04719374911591925,0.04000603919593592,0.008739832678764955,0.046255727618410826,0.0028186496463483562,0.1637755509457929,0.00272654681480366,0.3103541642042278,0.5801306122539698
PC2,0.10731313215136876,-0.20311022700059506,-0.413210335304509,-0.41458302352460713,-0.035289813675708534,0.45611091142999083,0.5027153138300537,-0.1145351922062111,-0.026861642494809285,-0.07070053635222182,0.17819028530934433,0.1726507877964002,-0.24940839057112923
PC3,0.5567180563506463,-0.14778091825470097,0.3816019643446279,0.3763237003920721,0.1288146615070043,0.09452823252819889,0.06455707303193312,-0.01254836608908224,0.05002800340542514,-0.011179831516081625,0.0737826625908399,0.5609356518027326,-0.16855818523779625
PC4,-0.25327418166818005,0.1661247349381002,0.3004695086743971,0.30639460814781705,0.2935352671826973,0.5156088088352246,0.4395448102535487,0.15727829343497002,-0.16877535938730992,0.1317849484942404,-0.08929316324110172,-0.2176154611778808,0.23013371902140303
PC5,-0.11028262531639738,0.11158803846953806,0.19124394535909506,0.09273189927950995,-0.49708083972272304,-0.03651143937296252,0.1363393974446005,0.3214261470709718,-0.05561443817460879,-0.39151346916888713,0.6292063466898346,-0.0010532218708091956,0.08723105202365657
PC6,-0.08374757286414279,0.16377035376307436,0.07358787965150178,0.13880355294846702,-0.049344340681434895,0.09288251602480142,0.11503854823556793,-0.5124882838856574,0.7832985427403727,-0.11153232710600433,0.10689490107830471,-0.11152013902742602,0.0684437736412565
PC7,0.017244921572440165,-0.11884468720521611,-0.08432947891952157,-0.11499412437067698,0.14621448519414104,0.028737935863414197,0.017171970509475807,0.7500994172908164,0.5697910582505761,-0.09588234738471116,-0.2118584019869407,0.03669061906366464,-0.003070455489210335
PC8,-0.08031883331877646,-0.14051978670991772,0.04000453865126572,0.036280896485043936,-0.3202634076865612,-0.02402764203047021,0.05118950462424549,0.11018240361649435,0.15823695845994246,0.8742231350014423,0.24011200591595866,0.014107446297089724,-0.07630257164407853
PC9,-0.12221139775357585,0.020442266663941683,-0.07251491001519159,-0.0972330690744208,0.7145509266101102,-0.15198129497949917,-0.1353043012919516,0.018629910296927746,0.030614572528983357,0.08151168864152593,0.6392851737341995,0.03574891102622441,0.0072946840627644335
PC10,0.04210867309287523,-0.006909339821731468,0.07848032997120703,-0.05424106268937047,0.0927178651062628,-0.6879675907125565,0.7011854673621629,-0.026661312017796847,-0.014014129258635058,0.01566303307234939,-0.10991323194008955,-0.01791964456946138,0.044342004685175546
PC11,-0.30344950485855277,0.04643906004617104,0.635027053698497,-0.6259593309003677,-0.0007971655703484746,0.04846871605147829,-0.06021499551159779,-0.07181293739953162,0.02538061859710828,0.0034699643490153313,-0.09846327872082594,0.29446683261860435,-0.049825937422364824
PC12,-0.6172400836571507,0.07136368832201623,-0.29593619187547804,0.31734494780112643,-0.025433540522333667,-0.07157507919602876,0.03003853872645145,-0.01343475062834213,-0.010080720520510643,-0.0373090336938763,-0.1169406917660616,0.6328987376710307,-0.0552600382098483
PC13,-0.05847804969025689,-0.6890655997766761,0.0030110414423785282,-0.018799727195174087,-0.02173771261951642,0.018464858230520423,-0.024487930790116498,-0.1127136978596315,0.00726511124312855,-0.056669924205783505,0.028672963492265984,0.09493685066916735,0.7029861297461026
