,Ticker,Conversations,Headlines,HeadlinesL2Delta,ConversationL2Delta,HeadlinesR2,ConversationR2,HeadlinePascal,ConversationPascal
0,ACST,0.15001142189736907,0.12602592592592593,0.0,0.038566981132075476,0.15174487490157332,0,0.06235893816477255,0
1,AKTX,0.15001142189736907,-0.012927272727272726,0.5574,0.038566981132075476,0.6179514438756476,0,-0.2094762914657593,0
2,BELFB,0.508775,0.23815263157894737,0.0772,0.10170000000000001,0.02364892373107029,0.03573866606926056,0.14488360512563614,0.6577390625
3,CCLP,0.15001142189736907,0.09711538461538462,0.3182,0.038566981132075476,0.07395923495645351,0,0.24000707268714905,0
4,CPIX,0.15001142189736907,0.026246153846153832,0.296,0.038566981132075476,0.577651526345755,0,0.14918012598752972,0
5,DYAI,0.15001142189736907,0.12348888888888891,0.0,0.038566981132075476,0.07489283793138732,0,-0.007924367829396177,0
6,EBIX,0.15001142189736907,0.1605875,0.3182,0.038566981132075476,0.09333904020643377,0,0.2535715637207031,0
7,EVOK,0.15001142189736907,0.10473333333333333,0.0,0.038566981132075476,0.014582358810510839,0,0.03542244565453083,0
8,FCAP,0.15001142189736907,0.1005529411764706,0.0,0.038566981132075476,0.053277956951906257,0,0.0678011637368708,0
9,FLDM,0.15001142189736907,0.1605875,0.3182,0.038566981132075476,0.09333904020643377,0,0.2535715637207031,0
10,GTH,0.15001142189736907,0.4404,0.0,0.038566981132075476,0.0,0,0.4404,0
11,HUGE,0.15001142189736907,0.35896249999999996,-0.6808,0.038566981132075476,0.03379404118897893,0,0.40489282836914064,0
12,JBSS,0.3182,0.095175,0.5719,0.0,1.0624329144689792e-07,0,0.1567347624824706,0.3182
13,JCS,0.15001142189736907,0.04,0.0,0.038566981132075476,0.03224887180605006,0,0.031060937500000003,0
14,JOUT,0.15001142189736907,-0.09100476190476191,0.0,0.038566981132075476,0.17874889396050284,0,-0.005783233848751297,0
15,MARK,0.15001142189736907,0.07350999999999999,0.7351,0.038566981132075476,0.13484082544326353,0,0.2590449058532715,0
16,MMAT,0.15001142189736907,-0.22004,0.0,0.038566981132075476,0.338051729098565,0,-0.056496875,0
17,NCSM,0.7447,0.0891125,0.2732,0.05400000000000005,0.03237577069765595,1.0,0.12030979811478738,0.7582
18,NWS,0.6908,0.14086093749999998,0.3083,0.0,0.07631883250775219,0,0.41812746150171676,0.6908
